cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008935,C0392674,DIAGNOSES,Clergy,Exhaustion,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0009467,C0231218,DIAGNOSES,Community Health Workers,Malaise,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0011441,C1397014,DIAGNOSES,Dentist,Imbalance,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0018724,C0003578,DIAGNOSES,Health Personnel,Apnea,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0010200,DIAGNOSES,Health Personnel,Coughing,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0015967,DIAGNOSES,Health Personnel,Fever,humn,sosy,6,DIAGNOSES_HUMNdiagSOSY
C0018724,C0018681,DIAGNOSES,Health Personnel,Headache,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0030193,DIAGNOSES,Health Personnel,Pain,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0036572,DIAGNOSES,Health Personnel,Seizures,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0037090,DIAGNOSES,Health Personnel,"Signs and Symptoms, Respiratory",humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0018724,C0043144,DIAGNOSES,Health Personnel,Wheezing,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0086132,DIAGNOSES,Health Personnel,Depressive Symptoms,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0231218,DIAGNOSES,Health Personnel,Malaise,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C0917801,DIAGNOSES,Health Personnel,Sleeplessness,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C2364135,DIAGNOSES,Health Personnel,Discomfort,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0018724,C3714552,DIAGNOSES,Health Personnel,Weakness,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0025106,C0010200,DIAGNOSES,Medical Staff,Coughing,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0025106,C0015967,DIAGNOSES,Medical Staff,Fever,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0025106,C0037090,DIAGNOSES,Medical Staff,"Signs and Symptoms, Respiratory",humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0026083,C0013404,DIAGNOSES,Midwife,Dyspnea,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0026083,C0030193,DIAGNOSES,Midwife,Pain,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028654,C1377828,DIAGNOSES,Clinical Nurse Specialists,Paraneoplastic Opsoclonus Ataxia,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0008031,DIAGNOSES,Nurses,Chest Pain,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0010200,DIAGNOSES,Nurses,Coughing,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0013404,DIAGNOSES,Nurses,Dyspnea,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0015672,DIAGNOSES,Nurses,Fatigue,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0028661,C0015967,DIAGNOSES,Nurses,Fever,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0028661,C0027497,DIAGNOSES,Nurses,Nausea,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0030193,DIAGNOSES,Nurses,Pain,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0036572,DIAGNOSES,Nurses,Seizures,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0037088,DIAGNOSES,Nurses,Signs and Symptoms,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0028661,C0042963,DIAGNOSES,Nurses,Vomiting,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0085631,DIAGNOSES,Nurses,Agitation,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0086132,DIAGNOSES,Nurses,Depressive Symptoms,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0231239,DIAGNOSES,Nurses,Fluctuation,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0392674,DIAGNOSES,Nurses,Exhaustion,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028661,C0860603,DIAGNOSES,Nurses,Anxiety symptoms,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0028698,C0917801,DIAGNOSES,Nursing Staff,Sleeplessness,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0010200,DIAGNOSES,Physicians,Coughing,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0011991,DIAGNOSES,Physicians,Diarrhea,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0037090,DIAGNOSES,Physicians,"Signs and Symptoms, Respiratory",humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0043144,DIAGNOSES,Physicians,Wheezing,humn,sosy,29,DIAGNOSES_HUMNdiagSOSY
C0031831,C0231218,DIAGNOSES,Physicians,Malaise,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0231528,DIAGNOSES,Physicians,Myalgia,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0031831,C0232766,DIAGNOSES,Physicians,Asterixis,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0392171,DIAGNOSES,Physicians,Influenza-like symptoms,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0031831,C0392674,DIAGNOSES,Physicians,Exhaustion,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C0860603,DIAGNOSES,Physicians,Anxiety symptoms,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C1260880,DIAGNOSES,Physicians,Rhinorrhea,humn,sosy,2,DIAGNOSES_HUMNdiagSOSY
C0031831,C2926602,DIAGNOSES,Physicians,"Discharge, body substance",humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
C0031831,C3494361,DIAGNOSES,Physicians,Prodromal Stage,humn,sosy,1,DIAGNOSES_HUMNdiagSOSY
