cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002615,C1537068,DISRUPTS,ammonium chloride,Virus Internalization,inch,biof,2,DISRUPTS_INCHdrptBIOF
C0013832,C0220781,DISRUPTS,Electrolytes,Anabolism,inch,biof,1,DISRUPTS_INCHdrptBIOF
C0038720,C1537068,DISRUPTS,"Sulfates, Inorganic",Virus Internalization,inch,biof,1,DISRUPTS_INCHdrptBIOF
C0043047,C0220781,DISRUPTS,water,Anabolism,inch,biof,1,DISRUPTS_INCHdrptBIOF
C0141060,C0220781,DISRUPTS,rutile,Anabolism,inch,biof,1,DISRUPTS_INCHdrptBIOF
C0146894,C0220781,DISRUPTS,triphosphate,Anabolism,inch,biof,1,DISRUPTS_INCHdrptBIOF
C0772313,C0220781,DISRUPTS,colloidal silver,Anabolism,inch,biof,1,DISRUPTS_INCHdrptBIOF
C1512523,C1537068,DISRUPTS,hydrochloride,Virus Internalization,inch,biof,2,DISRUPTS_INCHdrptBIOF
C2742538,C1537068,DISRUPTS,polyoxometalate,Virus Internalization,inch,biof,1,DISRUPTS_INCHdrptBIOF
C3536832,C0042765,DISRUPTS,air,Virulence,inch,biof,1,DISRUPTS_INCHdrptBIOF
