cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002611,C0018270,DISRUPTS,ammonium,Growth,inch,orgf,2,DISRUPTS_INCHdrptORGF
C0002615,C0018270,DISRUPTS,ammonium chloride,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0002615,C0678723,DISRUPTS,ammonium chloride,Biologic Development,inch,orgf,2,DISRUPTS_INCHdrptORGF
C0005367,C1148523,DISRUPTS,Bicarbonates,Childbirth,inch,orgf,3,DISRUPTS_INCHdrptORGF
C0008203,C0018270,DISRUPTS,Chlorides,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0008838,C0018270,DISRUPTS,cisplatin,Growth,inch,orgf,3,DISRUPTS_INCHdrptORGF
C0016327,C0018270,DISRUPTS,Fluorides,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0020746,C0018270,DISRUPTS,Ice,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0025552,C0018270,DISRUPTS,Metals,Growth,inch,orgf,2,DISRUPTS_INCHdrptORGF
C0026162,C0018270,DISRUPTS,Minerals,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0030015,C0018270,DISRUPTS,Oxides,Growth,inch,orgf,2,DISRUPTS_INCHdrptORGF
C0031603,C0018270,DISRUPTS,Phosphates,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0037494,C0018270,DISRUPTS,sodium chloride,Growth,inch,orgf,2,DISRUPTS_INCHdrptORGF
C0043047,C0011065,DISRUPTS,water,Cessation of life,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0043047,C0013123,DISRUPTS,water,Water consumption,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0043047,C0018270,DISRUPTS,water,Growth,inch,orgf,4,DISRUPTS_INCHdrptORGF
C0043047,C0026649,DISRUPTS,water,Movement,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0043491,C0018270,DISRUPTS,zinc oxide,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0069590,C0011065,DISRUPTS,ORALIT,Cessation of life,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0071767,C0025519,DISRUPTS,potassium hydroxide,Metabolism,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0596917,C0018270,DISRUPTS,metal oxide,Growth,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0660914,C1623210,DISRUPTS,molybdenum disulfide,heat generation,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0700307,C0018270,DISRUPTS,hydroxyl group,Growth,inch,orgf,3,DISRUPTS_INCHdrptORGF
C0772313,C0004614,DISRUPTS,colloidal silver,Bacterial Adhesion,inch,orgf,1,DISRUPTS_INCHdrptORGF
C0772313,C0018270,DISRUPTS,colloidal silver,Growth,inch,orgf,3,DISRUPTS_INCHdrptORGF
C3536832,C0004048,DISRUPTS,air,Inspiration function,inch,orgf,2,DISRUPTS_INCHdrptORGF
C3536832,C0011065,DISRUPTS,air,Cessation of life,inch,orgf,1,DISRUPTS_INCHdrptORGF
C3536832,C0043050,DISRUPTS,air,"Water Loss, Insensible",inch,orgf,1,DISRUPTS_INCHdrptORGF
