cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C1152412,DISRUPTS,acyclovir,RNA-directed RNA polymerase activity,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0001506,C1149627,DISRUPTS,Adenylyl Imidodiphosphate,helicase activity,nnon,genf,2,DISRUPTS_NNONdrptGENF
C0004475,C1707931,DISRUPTS,azacitidine,Epigenetic Silencing,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0012133,C0035380,DISRUPTS,didanosine,Reverse Transcription,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0016344,C0598312,DISRUPTS,Fluorodeoxyuridylate,DNA Replication,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0016360,C1158728,DISRUPTS,fluorouracil,RNA Processing,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0017066,C0598312,DISRUPTS,ganciclovir,DNA Replication,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0018330,C0040649,DISRUPTS,guanosine,"Transcription, Genetic",nnon,genf,1,DISRUPTS_NNONdrptGENF
C0018353,C1152412,DISRUPTS,Guanosine Triphosphate,RNA-directed RNA polymerase activity,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0032414,C1328949,DISRUPTS,Poly I-C,RNA replication,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0032414,C2260797,DISRUPTS,Poly I-C,RNase activity,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0035525,C0683143,DISRUPTS,ribavirin,RNA metabolic process,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0035525,C1152412,DISRUPTS,ribavirin,RNA-directed RNA polymerase activity,nnon,genf,5,DISRUPTS_NNONdrptGENF
C0035525,C1158817,DISRUPTS,ribavirin,viral transcription,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0035525,C1176301,DISRUPTS,ribavirin,RNA capping,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0035525,C1328949,DISRUPTS,ribavirin,RNA replication,nnon,genf,3,DISRUPTS_NNONdrptGENF
C0035525,C1622984,DISRUPTS,ribavirin,mRNA synthesis,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0041984,C1152412,DISRUPTS,uridine,RNA-directed RNA polymerase activity,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0042646,C0598312,DISRUPTS,vidarabine,DNA Replication,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0043474,C0598312,DISRUPTS,zidovudine,DNA Replication,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0045093,C0017262,DISRUPTS,gemcitabine,Gene Expression,nnon,genf,1,DISRUPTS_NNONdrptGENF
C0045093,C1152412,DISRUPTS,gemcitabine,RNA-directed RNA polymerase activity,nnon,genf,1,DISRUPTS_NNONdrptGENF
