cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001975,C0007603,DISRUPTS,Alcohols,Plasma membrane,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0001992,C0042760,DISRUPTS,Aldehydes,Virion,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0002403,C0034850,DISRUPTS,amantadine,Endosomes,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0002403,C0042760,DISRUPTS,amantadine,Virion,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0002598,C1166848,DISRUPTS,amiodarone,late endosome,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0003174,C1167398,DISRUPTS,Anthraquinones,Viral envelope,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0003174,C1622204,DISRUPTS,Anthraquinones,envelope,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0006644,C0018042,DISRUPTS,caffeine,Golgi Apparatus,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0007309,C0007623,DISRUPTS,carvacrol,Cell Wall,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0007907,C0023768,DISRUPTS,cetylpyridinium chloride,Lipid Bilayers,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0008243,C0007603,DISRUPTS,Chlorohydrins,Plasma membrane,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0008269,C0024369,DISRUPTS,chloroquine,Lysosomes,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0008269,C0034850,DISRUPTS,chloroquine,Endosomes,orch,celc,2,DISRUPTS_ORCHdrptCELC
C0008269,C0042760,DISRUPTS,chloroquine,Virion,orch,celc,3,DISRUPTS_ORCHdrptCELC
C0008269,C3887595,DISRUPTS,chloroquine,Autophagosome,orch,celc,2,DISRUPTS_ORCHdrptCELC
C0008286,C0007603,DISRUPTS,chlorpromazine,Plasma membrane,orch,celc,1,DISRUPTS_ORCHdrptCELC
C0009262,C0026046,DISRUPTS,colchicine,Microtubules,orch,celc,2,DISRUPTS_ORCHdrptCELC
C0009262,C0026237,DISRUPTS,colchicine,Mitochondria,orch,celc,1,DISRUPTS_ORCHdrptCELC
