cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001899,C0005437,HIGHER_THAN,Alanine Transaminase,Bilirubin,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0001924,C1764827,HIGHER_THAN,Albumins,Isolate - microorganism,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0002520,C0017725,HIGHER_THAN,Amino Acids,glucose,aapp,bacs,2,HIGHER_THAN_AAPPhghtBACS
C0003250,C0040549,HIGHER_THAN,Monoclonal Antibodies,Toxin,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0009498,C1099354,HIGHER_THAN,Complement System Proteins,"RNA, Small Interfering",aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0009630,C0032712,HIGHER_THAN,Concanavalin A,Porphyrins,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0014241,C0012854,HIGHER_THAN,Endoribonucleases,DNA,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0018165,C0008377,HIGHER_THAN,gramicidin,cholesterol,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0024075,C0035142,HIGHER_THAN,Luciferases,Replicon,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0030940,C1999216,HIGHER_THAN,Peptide Hydrolases,Inhibitor,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0038418,C0019134,HIGHER_THAN,streptokinase,heparin,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0047645,C0600493,HIGHER_THAN,3-nitrotyrosine,5' Untranslated Regions,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0070338,C1566558,HIGHER_THAN,peptide B,Natural Products,aapp,bacs,2,HIGHER_THAN_AAPPhghtBACS
C0120285,C1337053,HIGHER_THAN,Green Fluorescent Proteins,pre-miRNA,aapp,bacs,2,HIGHER_THAN_AAPPhghtBACS
C0123987,C1764827,HIGHER_THAN,"WNT2 protein, human",Isolate - microorganism,aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
C0178774,C0035696,HIGHER_THAN,Nucleocapsid,"RNA, Messenger",aapp,bacs,1,HIGHER_THAN_AAPPhghtBACS
