cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006223,C0008209,HIGHER_THAN,bromine,chlorine,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0006632,C0347988,HIGHER_THAN,cadmium,"Metals, Heavy",elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0007009,C0007009,HIGHER_THAN,Carbon,Carbon,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0007009,C0567415,HIGHER_THAN,Carbon,Atom (substance),elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0008209,C0008209,HIGHER_THAN,chlorine,chlorine,elii,elii,2,HIGHER_THAN_ELIIhghtELII
C0011744,C0011744,HIGHER_THAN,Deuterium,Deuterium,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0013852,C0013852,HIGHER_THAN,Electrons,Electrons,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0018880,C0020275,HIGHER_THAN,helium,hydrogen,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0020275,C0020275,HIGHER_THAN,hydrogen,hydrogen,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0022023,C0022023,HIGHER_THAN,Ions,Ions,elii,elii,7,HIGHER_THAN_ELIIhghtELII
C0022262,C0022262,HIGHER_THAN,Isotopes,Isotopes,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0033727,C0597277,HIGHER_THAN,Protons,potassium ion,elii,elii,3,HIGHER_THAN_ELIIhghtELII
C0037125,C0025424,HIGHER_THAN,Silver,mercury,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0041928,C0041928,HIGHER_THAN,uranium,uranium,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0302971,C0302971,HIGHER_THAN,Sulfur-35,Sulfur-35,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0303547,C0303379,HIGHER_THAN,Strontium-90,Cesium-137,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0567415,C0567415,HIGHER_THAN,Atom (substance),Atom (substance),elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0597484,C0596235,HIGHER_THAN,sodium cation,calcium ion,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C0700308,C0700308,HIGHER_THAN,Protium,Protium,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C2826347,C0597277,HIGHER_THAN,barium cation,potassium ion,elii,elii,1,HIGHER_THAN_ELIIhghtELII
C2936695,C2936695,HIGHER_THAN,Graphene,Graphene,elii,elii,1,HIGHER_THAN_ELIIhghtELII
