cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004906,C1553480,HIGHER_THAN,beclomethasone dipropionate,Diskus,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C0012383,C0085104,HIGHER_THAN,dimercaprol,Drug Delivery Systems,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C0012611,C0726930,HIGHER_THAN,Disaccharides,Small Ones,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C0022947,C1260969,HIGHER_THAN,Lactones,Ring device,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C0032458,C0181293,HIGHER_THAN,"Polycyclic Hydrocarbons, Aromatic",Incinerator,orch,medd,2,HIGHER_THAN_ORCHhghtMEDD
C0058516,C0182400,HIGHER_THAN,divinyl sulfone,Probes,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C0162969,C0026032,HIGHER_THAN,chitosan,Microspheres,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C0646129,C1553642,HIGHER_THAN,N-acetoacetyl-N-deacetylcolchicine,Maxillary left lateral incisor abutment,orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C1138226,C1314650,HIGHER_THAN,favipiravir,"SUPPLY, NOT OTHERWISE SPECIFIED",orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
C2926735,C0878826,HIGHER_THAN,Duration,"Analyzers, Physiologic, Middle Ear, Acoustic Reflectometry",orch,medd,1,HIGHER_THAN_ORCHhghtMEDD
