cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001560,C0035525,HIGHER_THAN,"Administration, Intranasal",ribavirin,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0149783,C0035525,HIGHER_THAN,Steroid therapy,ribavirin,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0152060,C0028630,HIGHER_THAN,Transection (procedure),Nucleotides,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0185027,C0028630,HIGHER_THAN,Imbrication (procedure),Nucleotides,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0185115,C0028630,HIGHER_THAN,Extraction,Nucleotides,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0237125,C2930586,HIGHER_THAN,Drugs regimen,Short Hairpin RNA,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0393005,C0016360,HIGHER_THAN,chlorodihydroxypyridine/potassium oxonate/tegafur,fluorouracil,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0520484,C0001367,HIGHER_THAN,Xenograft procedure,acyclovir,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0520484,C0045093,HIGHER_THAN,Xenograft procedure,gemcitabine,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C0600080,C0028630,HIGHER_THAN,Stretching exercises,Nucleotides,topp,nnon,2,HIGHER_THAN_TOPPhghtNNON
C1511790,C0035736,HIGHER_THAN,Detection,"RNA, Viral",topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
C1511790,C0206415,HIGHER_THAN,Detection,Oligonucleotide Primers,topp,nnon,1,HIGHER_THAN_TOPPhghtNNON
