cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003781,C0030054,INHIBITS,argon,oxygen,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0013852,C0030054,INHIBITS,Electrons,oxygen,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0013852,C0041536,INHIBITS,Electrons,ubidecarenone,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0020275,C0015691,INHIBITS,hydrogen,"Fatty Acids, Volatile",elii,bacs,1,INHIBITS_ELIIinhbBACS
C0020275,C0030054,INHIBITS,hydrogen,oxygen,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0022023,C0009968,INHIBITS,Ions,copper,elii,bacs,2,INHIBITS_ELIIinhbBACS
C0022023,C0012854,INHIBITS,Ions,DNA,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0022023,C0016693,INHIBITS,Ions,Free Radicals,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0022023,C0028606,INHIBITS,Ions,Nucleic Acids,elii,bacs,3,INHIBITS_ELIIinhbBACS
C0022023,C0043481,INHIBITS,Ions,zinc,elii,bacs,2,INHIBITS_ELIIinhbBACS
C0031705,C0006675,INHIBITS,phosphorus,calcium,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0031705,C0028158,INHIBITS,phosphorus,nitrogen,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0037125,C0013030,INHIBITS,Silver,dopamine,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0071526,C1099354,INHIBITS,polycations,"RNA, Small Interfering",elii,bacs,1,INHIBITS_ELIIinhbBACS
C0567415,C0302583,INHIBITS,Atom (substance),iron,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0596235,C0005437,INHIBITS,calcium ion,Bilirubin,elii,bacs,1,INHIBITS_ELIIinhbBACS
C0596235,C0016693,INHIBITS,calcium ion,Free Radicals,elii,bacs,1,INHIBITS_ELIIinhbBACS
C2346661,C0035696,INHIBITS,Pb2+,"RNA, Messenger",elii,bacs,1,INHIBITS_ELIIinhbBACS
C2347816,C0027270,INHIBITS,cobaltous cation,nicotinamide adenine dinucleotide (NAD),elii,bacs,1,INHIBITS_ELIIinhbBACS
C2347816,C0027289,INHIBITS,cobaltous cation,NADH,elii,bacs,1,INHIBITS_ELIIinhbBACS
