cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000983,C0040549,INHIBITS,acetic acid,Toxin,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0006353,C0035693,INHIBITS,Buffers,"RNA, Double-Stranded",irda,bacs,1,INHIBITS_IRDAinhbBACS
C0006353,C0035696,INHIBITS,Buffers,"RNA, Messenger",irda,bacs,1,INHIBITS_IRDAinhbBACS
C0006353,C0041942,INHIBITS,Buffers,urea,irda,bacs,2,INHIBITS_IRDAinhbBACS
C0007974,C0043481,INHIBITS,Chelating Agents,zinc,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0007974,C0302583,INHIBITS,Chelating Agents,iron,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0010467,C0035142,INHIBITS,curcumin,Replicon,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0010467,C0035696,INHIBITS,curcumin,"RNA, Messenger",irda,bacs,1,INHIBITS_IRDAinhbBACS
C0010467,C4743777,INHIBITS,curcumin,Activator,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0010558,C0008377,INHIBITS,cyclodextrins,cholesterol,irda,bacs,13,INHIBITS_IRDAinhbBACS
C0010558,C1099354,INHIBITS,cyclodextrins,"RNA, Small Interfering",irda,bacs,1,INHIBITS_IRDAinhbBACS
C0021973,C0041942,INHIBITS,Iodoacetamide,urea,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0022115,C0036751,INHIBITS,Isatin,serotonin,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0032486,C1099354,INHIBITS,Polyethyleneimine,"RNA, Small Interfering",irda,bacs,1,INHIBITS_IRDAinhbBACS
C0039958,C0025196,INHIBITS,Thiourea,Melanins,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0046056,C0023822,INHIBITS,fluorodeoxyglucose F18,High Density Lipoprotein Cholesterol,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0067319,C0043481,INHIBITS,"N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine",zinc,irda,bacs,2,INHIBITS_IRDAinhbBACS
C0088100,C1099354,INHIBITS,"1,2-dioleoyloxy-3-(trimethylammonium)propane","RNA, Small Interfering",irda,bacs,1,INHIBITS_IRDAinhbBACS
C0162781,C0023822,INHIBITS,Thiobarbituric Acid Reactive Substances,High Density Lipoprotein Cholesterol,irda,bacs,1,INHIBITS_IRDAinhbBACS
C0521966,C0006675,INHIBITS,Calcium ionophore A23187,calcium,irda,bacs,1,INHIBITS_IRDAinhbBACS
