cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0035696,INHIBITS,Base Sequence,"RNA, Messenger",nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0009802,C1099354,INHIBITS,Conserved Sequence,"RNA, Small Interfering",nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0080089,C0037871,INHIBITS,Reading Frames (Nucleotide Sequence),spermidine,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0162326,C0012854,INHIBITS,DNA Sequence,DNA,nusq,bacs,4,INHIBITS_NUSQinhbBACS
C0162326,C0028606,INHIBITS,DNA Sequence,Nucleic Acids,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0162326,C0032136,INHIBITS,DNA Sequence,Plasmids,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0162326,C0035696,INHIBITS,DNA Sequence,"RNA, Messenger",nusq,bacs,2,INHIBITS_NUSQinhbBACS
C0162326,C0035701,INHIBITS,DNA Sequence,Ribosomal RNA,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0162326,C0040549,INHIBITS,DNA Sequence,Toxin,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0162326,C0302583,INHIBITS,DNA Sequence,iron,nusq,bacs,3,INHIBITS_NUSQinhbBACS
C0162326,C1099354,INHIBITS,DNA Sequence,"RNA, Small Interfering",nusq,bacs,4,INHIBITS_NUSQinhbBACS
C0162326,C1101610,INHIBITS,DNA Sequence,MicroRNAs,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0242611,C0035711,INHIBITS,"Codon, Terminator",Transfer RNA,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C0600600,C0600493,INHIBITS,3' Untranslated Regions,5' Untranslated Regions,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C1517336,C0035142,INHIBITS,G-Quadruplexes,Replicon,nusq,bacs,1,INHIBITS_NUSQinhbBACS
C1517336,C1099354,INHIBITS,G-Quadruplexes,"RNA, Small Interfering",nusq,bacs,1,INHIBITS_NUSQinhbBACS
C1883633,C0012854,INHIBITS,3' Region,DNA,nusq,bacs,1,INHIBITS_NUSQinhbBACS
