cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000294,C0001204,INHIBITS,mesna,Acrolein,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0001002,C0006353,INHIBITS,acetone,Buffers,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0001002,C3812213,INHIBITS,acetone,Fetal Bovine Serum,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0004501,C0000983,INHIBITS,Azo Compounds,acetic acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0007404,C0016979,INHIBITS,catechin,gallic acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0011777,C0015205,INHIBITS,dexamethasone,Evans blue,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0014695,C0295541,INHIBITS,ergocalciferol,8-isoprostaglandin F2alpha,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0030415,C0043367,INHIBITS,paraffin,xylene,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0033209,C0060520,INHIBITS,probenecid,fluorescein,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0034272,C0069715,INHIBITS,pyridoxine,oxalic acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0036189,C0012256,INHIBITS,Saponins,Digitonin,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0038734,C0028147,INHIBITS,Sulfhydryl Compounds,Nitroblue Tetrazolium,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0041415,C0006353,INHIBITS,Tween 20,Buffers,orch,irda,11,INHIBITS_ORCHinhbIRDA
C0050492,C0034338,INHIBITS,acetylacetone,pyruvaldehyde,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0052919,C0006353,INHIBITS,bafilomycin A1,Buffers,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0074722,C0006353,INHIBITS,sodium bicarbonate,Buffers,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0075245,C0030123,INHIBITS,steviol,4-aminohippuric acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0079224,C0011051,INHIBITS,dextran sulfate,DEAE-Dextran,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0146951,C0006353,INHIBITS,Triton X-100,Buffers,orch,irda,6,INHIBITS_ORCHinhbIRDA
C0242864,C0012018,INHIBITS,amber,Diazomethane,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0301116,C0001204,INHIBITS,Mercaptan compound,Acrolein,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0647141,C0028147,INHIBITS,topsentin,Nitroblue Tetrazolium,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0729218,C0013714,INHIBITS,FK-506,egtazic acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
C0912406,C0016576,INHIBITS,NP 10,formic acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
C1328819,C0016979,INHIBITS,Small Molecule,gallic acid,orch,irda,1,INHIBITS_ORCHinhbIRDA
