cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001645,C0128513,INHIBITS,Adrenergic beta-Antagonists,milrinone,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0002932,C0023779,INHIBITS,Anesthetics,Lipids,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0003015,C0525678,INHIBITS,Angiotensin-Converting Enzyme Inhibitors,rasagiline,phsu,orch,16,INHIBITS_PHSUinhbORCH
C0003138,C0360363,INHIBITS,Antacids,Azole antifungal,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003209,C0028128,INHIBITS,Anti-Inflammatory Agents,nitric oxide,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003209,C0071538,INHIBITS,Anti-Inflammatory Agents,polydatin,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003211,C0003968,INHIBITS,"Anti-Inflammatory Agents, Non-Steroidal",ascorbic acid,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0003211,C0013725,INHIBITS,"Anti-Inflammatory Agents, Non-Steroidal",Eicosanoids,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003211,C0032433,INHIBITS,"Anti-Inflammatory Agents, Non-Steroidal",Polyamines,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003308,C0038323,INHIBITS,Antifungal Agents,Sterols,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003364,C0126174,INHIBITS,Antihypertensive Agents,losartan,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003364,C0525678,INHIBITS,Antihypertensive Agents,rasagiline,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0003374,C0008269,INHIBITS,Antimalarials,chloroquine,phsu,orch,3,INHIBITS_PHSUinhbORCH
C0003374,C0014898,INHIBITS,Antimalarials,Esters,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003374,C0055447,INHIBITS,Antimalarials,chloroquine phosphate,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003374,C0596007,INHIBITS,Antimalarials,hydroxychloroquine sulfate,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003376,C0034140,INHIBITS,Antimetabolites,Purines,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003376,C0034284,INHIBITS,Antimetabolites,Pyrimidine,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003385,C0006931,INHIBITS,Muscarinic Antagonists,capsaicin,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003402,C0003968,INHIBITS,Antioxidants,ascorbic acid,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003402,C0023776,INHIBITS,Antioxidants,Lipid Peroxides,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0003402,C0060444,INHIBITS,Antioxidants,Flavonols,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003416,C0038323,INHIBITS,Antiprotozoal Agents,Sterols,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003451,C0172217,INHIBITS,Antiviral Agents,arsenal,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0003451,C2926735,INHIBITS,Antiviral Agents,Duration,phsu,orch,10,INHIBITS_PHSUinhbORCH
C0003451,C2961731,INHIBITS,Antiviral Agents,Overtime,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0006280,C2926735,INHIBITS,Bronchodilator Agents,Duration,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0006684,C0525678,INHIBITS,Calcium Channel Blockers,rasagiline,phsu,orch,3,INHIBITS_PHSUinhbORCH
C0012798,C2926735,INHIBITS,Diuretics,Duration,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0016411,C0034140,INHIBITS,Folic Acid Antagonists,Purines,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0020592,C2926735,INHIBITS,Hypnotics and Sedatives,Duration,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0020616,C0005802,INHIBITS,Hypoglycemic Agents,Blood Glucose,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0020616,C0245514,INHIBITS,Hypoglycemic Agents,troglitazone,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0033607,C0059438,INHIBITS,Protease Inhibitors,epigallocatechin gallate,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0036557,C2926735,INHIBITS,Sedatives,Duration,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0040615,C2926735,INHIBITS,Antipsychotic Agents,Duration,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0041044,C0023413,INHIBITS,Trimethoprim-Sulfamethoxazole Combination,leucovorin,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0051821,C0005802,INHIBITS,andrographolide,Blood Glucose,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0069821,C0028928,INHIBITS,oxymatrine,oleic acid,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0069821,C0209738,INHIBITS,oxymatrine,lamivudine,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0078516,C2926735,INHIBITS,World Health Organization oral rehydration solution,Duration,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0085826,C0040057,INHIBITS,Antiplatelet Agents,Thromboxane A2,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0086440,C1957670,INHIBITS,Hypolipidemic Agents,oxidosqualene,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0243042,C0028128,INHIBITS,Inflammation Mediators,nitric oxide,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0302837,C2926735,INHIBITS,Vitamin supplementation,Duration,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0353043,C0025402,INHIBITS,Cleansing preparations,2-Mercaptoethanol,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0358591,C1328819,INHIBITS,Proton Pump Inhibitors,Small Molecule,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0360105,C0292818,INHIBITS,Selective Serotonin Reuptake Inhibitors,ritonavir,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0376607,C0076275,INHIBITS,Anti-Obesity Agents,orlistat,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0521942,C0525678,INHIBITS,Angiotensin II receptor antagonist,rasagiline,phsu,orch,4,INHIBITS_PHSUinhbORCH
C0544357,C0637815,INHIBITS,human plasma,eckol,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0556100,C0991850,INHIBITS,Linoleic acid supplementation,MILK FAT,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0674169,C3180221,INHIBITS,MRS 2179,MRS 2211,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0746574,C0077024,INHIBITS,methylate,tributyltin,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0815017,C0525678,INHIBITS,Angiotensin Receptor Antagonists,rasagiline,phsu,orch,2,INHIBITS_PHSUinhbORCH
C0939237,C0064636,INHIBITS,lopinavir / Ritonavir,lamotrigine,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0939237,C0070166,INHIBITS,lopinavir / Ritonavir,clopidogrel,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0939237,C0674432,INHIBITS,lopinavir / Ritonavir,lopinavir,phsu,orch,1,INHIBITS_PHSUinhbORCH
C0939237,C1620287,INHIBITS,lopinavir / Ritonavir,prasugrel,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1169989,C0006405,INHIBITS,Buprenorphine / Naloxone,buprenorphine,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1169989,C0025605,INHIBITS,Buprenorphine / Naloxone,methadone,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1330330,C2926735,INHIBITS,Hand Sanitizers,Duration,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1449680,C0525678,INHIBITS,Angiotensin II Type 1 Receptor Blockers,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1513016,C0671236,INHIBITS,Matrix Metalloproteinase Inhibitors,LPS 9,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1514727,C0525678,INHIBITS,Ras Inhibitor,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1827106,C0015688,INHIBITS,Dipeptidyl-Peptidase IV Inhibitors,Nonesterified Fatty Acids,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1827106,C0525678,INHIBITS,Dipeptidyl-Peptidase IV Inhibitors,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1874451,C0525678,INHIBITS,Basis,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1874451,C2926735,INHIBITS,Basis,Duration,phsu,orch,1,INHIBITS_PHSUinhbORCH
C1960108,C0525678,INHIBITS,Renin inhibitor,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C2347168,C0525678,INHIBITS,Mitogen-Activated Protein Kinase Kinase Inhibitor,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C2348069,C0525678,INHIBITS,Daglutril,rasagiline,phsu,orch,1,INHIBITS_PHSUinhbORCH
C2917414,C2961731,INHIBITS,Recombinant Human Deoxyribonuclease 1 [EPC],Overtime,phsu,orch,1,INHIBITS_PHSUinhbORCH
