cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0015686,INTERACTS_WITH,eicosapentaenoic acid,"Fatty Acids, Essential",bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0000545,C0050492,INTERACTS_WITH,eicosapentaenoic acid,acetylacetone,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0000545,C0718566,INTERACTS_WITH,eicosapentaenoic acid,Anti-Fungal,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0000702,C5139976,INTERACTS_WITH,"DNA, A-Form",CAPTURE,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001026,C0015684,INTERACTS_WITH,acetyl coenzyme A,Fatty Acids,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001026,C0034354,INTERACTS_WITH,acetyl coenzyme A,Pyruvates,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001026,C0208308,INTERACTS_WITH,acetyl coenzyme A,artemisic acid,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001026,C3503116,INTERACTS_WITH,acetyl coenzyme A,palmitate,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001041,C0000975,INTERACTS_WITH,acetylcholine,acetate,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001055,C0016786,INTERACTS_WITH,Acetylgalactosamine,Fucose,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001407,C0656883,INTERACTS_WITH,adenine,6-chloropurine,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001443,C0012384,INTERACTS_WITH,adenosine,succimer,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001461,C0028027,INTERACTS_WITH,Adenosine Diphosphate Ribose,niacinamide,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001461,C0035549,INTERACTS_WITH,Adenosine Diphosphate Ribose,ribose,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0001480,C0007004,INTERACTS_WITH,adenosine triphosphate,Carbohydrates,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0004409,C0061751,INTERACTS_WITH,Auxins,glycyrrhizic acid,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0005390,C0008395,INTERACTS_WITH,Bile Acids,"Cholesterol, Dietary",bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0006675,C0023810,INTERACTS_WITH,calcium,Lipopolysaccharides,bacs,orch,5,INTERACTS_WITH_BACSitawORCH
C0006675,C0225326,INTERACTS_WITH,calcium,fiber,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0006675,C0628612,INTERACTS_WITH,calcium,compound FP 1,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0007012,C0002508,INTERACTS_WITH,carbon dioxide,Amines,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0007012,C0020242,INTERACTS_WITH,carbon dioxide,Hydrocarbons,bacs,orch,3,INTERACTS_WITH_BACSitawORCH
C0007012,C0025617,INTERACTS_WITH,carbon dioxide,Methane,bacs,orch,1,INTERACTS_WITH_BACSitawORCH
C0007269,C0042839,INTERACTS_WITH,Carotene,vitamin A,bacs,orch,2,INTERACTS_WITH_BACSitawORCH
