cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004595,C0038027,INTERACTS_WITH,Bacillus subtilis,Reproduction spores,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004611,C0314732,INTERACTS_WITH,Bacteria,Infectious agent,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004611,C0445623,INTERACTS_WITH,Bacteria,Microorganism,bact,orgm,19,INTERACTS_WITH_BACTitawORGM
C0004611,C0450254,INTERACTS_WITH,Bacteria,Pathogenic organism,bact,orgm,18,INTERACTS_WITH_BACTitawORGM
C0004611,C0686817,INTERACTS_WITH,Bacteria,Prokaryote,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004611,C0969756,INTERACTS_WITH,Bacteria,"Organisms, Genetically Modified",bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004611,C1167395,INTERACTS_WITH,Bacteria,Host (organism),bact,orgm,5,INTERACTS_WITH_BACTitawORGM
C0004611,C1628327,INTERACTS_WITH,Bacteria,Zoonotic pathogen,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004611,C1956108,INTERACTS_WITH,Bacteria,Microbiome,bact,orgm,9,INTERACTS_WITH_BACTitawORGM
C0004611,C2985398,INTERACTS_WITH,Bacteria,Intestinal Microbiome,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0004611,C5145524,INTERACTS_WITH,Bacteria,Bacteria & viruses,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004613,C0450254,INTERACTS_WITH,"Bacteria, Anaerobic",Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004613,C2985398,INTERACTS_WITH,"Bacteria, Anaerobic",Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0005380,C0450254,INTERACTS_WITH,Bifidobacterium,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0005380,C1167395,INTERACTS_WITH,Bifidobacterium,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0005380,C2985398,INTERACTS_WITH,Bifidobacterium,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0006132,C0445623,INTERACTS_WITH,Moraxella catarrhalis,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0006303,C0450254,INTERACTS_WITH,Brucella,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0006303,C1167395,INTERACTS_WITH,Brucella,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0006813,C0450254,INTERACTS_WITH,Campylobacter,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0008148,C0314732,INTERACTS_WITH,Chlamydia,Infectious agent,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0008148,C0445623,INTERACTS_WITH,Chlamydia,Microorganism,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C0009054,C1167395,INTERACTS_WITH,Clostridium,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0009054,C2985398,INTERACTS_WITH,Clostridium,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0014346,C2985398,INTERACTS_WITH,Enterobacteriaceae,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0014834,C0445623,INTERACTS_WITH,Escherichia coli,Microorganism,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0014834,C0450254,INTERACTS_WITH,Escherichia coli,Pathogenic organism,bact,orgm,5,INTERACTS_WITH_BACTitawORGM
C0014834,C2985398,INTERACTS_WITH,Escherichia coli,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0016676,C0597899,INTERACTS_WITH,Francisella,water organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0018150,C0445623,INTERACTS_WITH,Gram Negative Bacteria,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0018150,C0562641,INTERACTS_WITH,Gram Negative Bacteria,Symbiont,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0018150,C1167395,INTERACTS_WITH,Gram Negative Bacteria,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022938,C0445623,INTERACTS_WITH,Lactobacillus,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022938,C1167395,INTERACTS_WITH,Lactobacillus,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022938,C2985398,INTERACTS_WITH,Lactobacillus,Intestinal Microbiome,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0022940,C0445623,INTERACTS_WITH,Lactobacillus casei,Microorganism,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C0022940,C1167395,INTERACTS_WITH,Lactobacillus casei,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022940,C1956108,INTERACTS_WITH,Lactobacillus casei,Microbiome,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C0023237,C4267729,INTERACTS_WITH,Legionella,Respiratory pathogens,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0023859,C0450254,INTERACTS_WITH,Listeria,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0026912,C0445623,INTERACTS_WITH,Genus Mycobacterium,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0026926,C0450254,INTERACTS_WITH,Mycobacterium tuberculosis,Pathogenic organism,bact,orgm,4,INTERACTS_WITH_BACTitawORGM
C0026926,C2985398,INTERACTS_WITH,Mycobacterium tuberculosis,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0026934,C0445623,INTERACTS_WITH,Mycoplasma,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0026934,C0450254,INTERACTS_WITH,Mycoplasma,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0030637,C0450254,INTERACTS_WITH,Pasteurella multocida,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0033477,C0450254,INTERACTS_WITH,Propionibacterium acnes,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0033808,C0445623,INTERACTS_WITH,Pseudomonas,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0033809,C0450254,INTERACTS_WITH,Pseudomonas aeruginosa,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0035583,C0445623,INTERACTS_WITH,Rickettsia,Microorganism,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C0036111,C0445623,INTERACTS_WITH,Salmonella,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0036111,C0450254,INTERACTS_WITH,Salmonella,Pathogenic organism,bact,orgm,5,INTERACTS_WITH_BACTitawORGM
C0038172,C0445623,INTERACTS_WITH,Staphylococcus aureus,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0038172,C0450254,INTERACTS_WITH,Staphylococcus aureus,Pathogenic organism,bact,orgm,4,INTERACTS_WITH_BACTitawORGM
C0038402,C0445623,INTERACTS_WITH,Streptococcus,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0038410,C0450254,INTERACTS_WITH,Streptococcus pneumoniae,Pathogenic organism,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0038410,C0562641,INTERACTS_WITH,Streptococcus pneumoniae,Symbiont,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0079134,C0450254,INTERACTS_WITH,Clostridium difficile,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0079488,C0450254,INTERACTS_WITH,Helicobacter pylori,Pathogenic organism,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C0079488,C1956108,INTERACTS_WITH,Helicobacter pylori,Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0081786,C0450254,INTERACTS_WITH,Microbial Biofilms,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0085489,C0450254,INTERACTS_WITH,Actinobacillus pleuropneumoniae,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0085494,C0450254,INTERACTS_WITH,Enterococcus,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0085494,C1167395,INTERACTS_WITH,Enterococcus,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0314760,C0445623,INTERACTS_WITH,Coliform bacteria,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0314924,C0445623,INTERACTS_WITH,Bacteroides thetaiotaomicron,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0315737,C0445623,INTERACTS_WITH,Salmonella Dublin,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0317569,C0450254,INTERACTS_WITH,Haemophilus parasuis,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0376625,C0450254,INTERACTS_WITH,Escherichia coli O157,Pathogenic organism,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C0525033,C0314732,INTERACTS_WITH,Probiotics,Infectious agent,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0525033,C0445623,INTERACTS_WITH,Probiotics,Microorganism,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0525033,C0450254,INTERACTS_WITH,Probiotics,Pathogenic organism,bact,orgm,4,INTERACTS_WITH_BACTitawORGM
C0525033,C1956108,INTERACTS_WITH,Probiotics,Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0525033,C2985398,INTERACTS_WITH,Probiotics,Intestinal Microbiome,bact,orgm,16,INTERACTS_WITH_BACTitawORGM
C0579233,C0450254,INTERACTS_WITH,Streptococcus agalactiae,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0599752,C2985398,INTERACTS_WITH,intestinal bacteria,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0729688,C1167395,INTERACTS_WITH,Orientia,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0751985,C2985398,INTERACTS_WITH,Proteobacteria,Intestinal Microbiome,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0995456,C2985398,INTERACTS_WITH,Bacteroidetes,Intestinal Microbiome,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C1047211,C0445623,INTERACTS_WITH,Cyanobacteria,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1047211,C0450254,INTERACTS_WITH,Cyanobacteria,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1047211,C0599383,INTERACTS_WITH,Cyanobacteria,Marine Organisms,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1210581,C0450254,INTERACTS_WITH,Lactobacillales,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1210581,C2985398,INTERACTS_WITH,Lactobacillales,Intestinal Microbiome,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C1214082,C1956108,INTERACTS_WITH,Turicibacter,Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1264842,C0450254,INTERACTS_WITH,Diarrheagenic Escherichia coli,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1265175,C3826980,INTERACTS_WITH,Vancomycin-Resistant Enterococci,Multi-Drug Resistant Organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1265292,C1518032,INTERACTS_WITH,Methicillin-Resistant Staphylococcus aureus,Lower Organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1444090,C0445623,INTERACTS_WITH,Resistant bacteria,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1444090,C0450254,INTERACTS_WITH,Resistant bacteria,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1490590,C1956108,INTERACTS_WITH,Akkermansia muciniphila,Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1629836,C0450254,INTERACTS_WITH,Lactobacillus rhamnosus GG,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C1979924,C0450254,INTERACTS_WITH,Meningitidis,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C4695382,C0450254,INTERACTS_WITH,Intracellular bacteria,Pathogenic organism,bact,orgm,2,INTERACTS_WITH_BACTitawORGM
C4695382,C1167395,INTERACTS_WITH,Intracellular bacteria,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C4698075,C1167395,INTERACTS_WITH,Virulent strain,Host (organism),bact,orgm,1,INTERACTS_WITH_BACTitawORGM
