cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003072,C0007447,INTERACTS_WITH,Anion Exchange Resins,Cations,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0017243,C0444626,INTERACTS_WITH,Gel,Crystal Structure,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0017243,C0597177,INTERACTS_WITH,Gel,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0017243,C1138408,INTERACTS_WITH,Gel,"Nanotubes, Carbon",bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0032521,C0178735,INTERACTS_WITH,Polymers,macromolecule,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0032521,C0596973,INTERACTS_WITH,Polymers,Monomer,bodm,chvs,2,INTERACTS_WITH_BODMitawCHVS
C0032521,C0597177,INTERACTS_WITH,Polymers,Particle,bodm,chvs,5,INTERACTS_WITH_BODMitawCHVS
C0032521,C1704241,INTERACTS_WITH,Polymers,complex (molecular entity),bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0033086,C0597177,INTERACTS_WITH,Pharmaceutical Preservatives,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0038960,C0036140,INTERACTS_WITH,Suspensions,Salts,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0038960,C0597177,INTERACTS_WITH,Suspensions,Particle,bodm,chvs,2,INTERACTS_WITH_BODMitawCHVS
C0038960,C1704241,INTERACTS_WITH,Suspensions,complex (molecular entity),bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0071503,C0597177,INTERACTS_WITH,polyacrylonitrile,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0284447,C0597177,INTERACTS_WITH,Simulate composite resin,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0534010,C0007447,INTERACTS_WITH,One-Step dentin bonding system,Cations,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0991566,C0007447,INTERACTS_WITH,Bead Dosage Form,Cations,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C1272883,C0017110,INTERACTS_WITH,Injection,Gases,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C1563732,C0597177,INTERACTS_WITH,Dendrimers,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C1880165,C0036140,INTERACTS_WITH,Concentrate Dosage Form,Salts,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
