cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0011306,INTERACTS_WITH,Armed macrophage,Dendritic Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0001280,C0014467,INTERACTS_WITH,Armed macrophage,eosinophil,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0001280,C0014597,INTERACTS_WITH,Armed macrophage,Epithelial Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0001280,C0024432,INTERACTS_WITH,Armed macrophage,macrophage,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0001280,C0026473,INTERACTS_WITH,Armed macrophage,Monocytes,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0001280,C0028944,INTERACTS_WITH,Armed macrophage,Oligodendroglia,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0001280,C0039194,INTERACTS_WITH,Armed macrophage,T-Lymphocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0002449,C0029431,INTERACTS_WITH,Ameloblasts,Osteoclasts,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0004561,INTERACTS_WITH,Antigen-Presenting Cells,B-Lymphocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0018183,INTERACTS_WITH,Antigen-Presenting Cells,granulocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0023516,INTERACTS_WITH,Antigen-Presenting Cells,Leukocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0024264,INTERACTS_WITH,Antigen-Presenting Cells,Lymphocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0024432,INTERACTS_WITH,Antigen-Presenting Cells,macrophage,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0031307,INTERACTS_WITH,Antigen-Presenting Cells,Phagocytes,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0003315,C0032112,INTERACTS_WITH,Antigen-Presenting Cells,Plasma Cells,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0003315,C0039194,INTERACTS_WITH,Antigen-Presenting Cells,T-Lymphocyte,cell,cell,18,INTERACTS_WITH_CELLitawCELL
C0003315,C0039195,INTERACTS_WITH,Antigen-Presenting Cells,Cytotoxic T-Lymphocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0039215,INTERACTS_WITH,Antigen-Presenting Cells,CD4 Positive T Lymphocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0221284,INTERACTS_WITH,Antigen-Presenting Cells,Leptocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C0682638,INTERACTS_WITH,Antigen-Presenting Cells,Memory B-Lymphocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C1956385,INTERACTS_WITH,Antigen-Presenting Cells,Plasmacytoid Dendritic Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C3641722,INTERACTS_WITH,Antigen-Presenting Cells,Effector T-Lymphocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0003315,C4330475,INTERACTS_WITH,Antigen-Presenting Cells,Immune Cell,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0022688,INTERACTS_WITH,Astrocytes,Natural Killer Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0023516,INTERACTS_WITH,Astrocytes,Leukocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0024264,INTERACTS_WITH,Astrocytes,Lymphocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0026473,INTERACTS_WITH,Astrocytes,Monocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0027836,INTERACTS_WITH,Astrocytes,Neuroglia,cell,cell,6,INTERACTS_WITH_CELLitawCELL
C0004112,C0027882,INTERACTS_WITH,Astrocytes,Neurons,cell,cell,7,INTERACTS_WITH_CELLitawCELL
C0004112,C0027950,INTERACTS_WITH,Astrocytes,neutrophil,cell,cell,11,INTERACTS_WITH_CELLitawCELL
C0004112,C0028944,INTERACTS_WITH,Astrocytes,Oligodendroglia,cell,cell,3,INTERACTS_WITH_CELLitawCELL
C0004112,C0036387,INTERACTS_WITH,Astrocytes,Schwann Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0039194,INTERACTS_WITH,Astrocytes,T-Lymphocyte,cell,cell,8,INTERACTS_WITH_CELLitawCELL
C0004112,C0039195,INTERACTS_WITH,Astrocytes,Cytotoxic T-Lymphocytes,cell,cell,4,INTERACTS_WITH_CELLitawCELL
C0004112,C0039215,INTERACTS_WITH,Astrocytes,CD4 Positive T Lymphocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0206116,INTERACTS_WITH,Astrocytes,Microglia,cell,cell,10,INTERACTS_WITH_CELLitawCELL
C0004112,C0225336,INTERACTS_WITH,Astrocytes,Endothelial Cells,cell,cell,3,INTERACTS_WITH_CELLitawCELL
C0004112,C0242629,INTERACTS_WITH,Astrocytes,CD8-Positive T-Lymphocytes,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0004112,C0596208,INTERACTS_WITH,Astrocytes,brain cell,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0682689,INTERACTS_WITH,Astrocytes,neuron type,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C0806987,INTERACTS_WITH,Astrocytes,Mononuclear cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C1512977,INTERACTS_WITH,Astrocytes,Mammalian Cell,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C1519715,INTERACTS_WITH,Astrocytes,Type II Epithelial Receptor Cell,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004112,C4330475,INTERACTS_WITH,Astrocytes,Immune Cell,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0004561,C0003273,INTERACTS_WITH,B-Lymphocytes,Antibody-Producing Cells,cell,cell,3,INTERACTS_WITH_CELLitawCELL
C0004561,C0005821,INTERACTS_WITH,B-Lymphocytes,Blood Platelets,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0009013,INTERACTS_WITH,B-Lymphocytes,Clone Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0011306,INTERACTS_WITH,B-Lymphocytes,Dendritic Cells,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0004561,C0014597,INTERACTS_WITH,B-Lymphocytes,Epithelial Cells,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0004561,C0017473,INTERACTS_WITH,B-Lymphocytes,Germ Line,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0018894,INTERACTS_WITH,B-Lymphocytes,Helper-Inducer T-Lymphocyte,cell,cell,5,INTERACTS_WITH_CELLitawCELL
C0004561,C0022688,INTERACTS_WITH,B-Lymphocytes,Natural Killer Cells,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0023516,INTERACTS_WITH,B-Lymphocytes,Leukocytes,cell,cell,2,INTERACTS_WITH_CELLitawCELL
C0004561,C0024264,INTERACTS_WITH,B-Lymphocytes,Lymphocyte,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0024432,INTERACTS_WITH,B-Lymphocytes,macrophage,cell,cell,11,INTERACTS_WITH_CELLitawCELL
C0004561,C0025166,INTERACTS_WITH,B-Lymphocytes,Megakaryocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0026473,INTERACTS_WITH,B-Lymphocytes,Monocytes,cell,cell,3,INTERACTS_WITH_CELLitawCELL
C0004561,C0027882,INTERACTS_WITH,B-Lymphocytes,Neurons,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0027950,INTERACTS_WITH,B-Lymphocytes,neutrophil,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0028944,INTERACTS_WITH,B-Lymphocytes,Oligodendroglia,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0032112,INTERACTS_WITH,B-Lymphocytes,Plasma Cells,cell,cell,44,INTERACTS_WITH_CELLitawCELL
C0004561,C0039194,INTERACTS_WITH,B-Lymphocytes,T-Lymphocyte,cell,cell,20,INTERACTS_WITH_CELLitawCELL
C0004561,C0039195,INTERACTS_WITH,B-Lymphocytes,Cytotoxic T-Lymphocytes,cell,cell,1,INTERACTS_WITH_CELLitawCELL
C0004561,C0039198,INTERACTS_WITH,B-Lymphocytes,Regulatory T-Lymphocytes,cell,cell,3,INTERACTS_WITH_CELLitawCELL
C0004561,C0039215,INTERACTS_WITH,B-Lymphocytes,CD4 Positive T Lymphocytes,cell,cell,3,INTERACTS_WITH_CELLitawCELL
