cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001128,C0001461,INTERACTS_WITH,Acids,Adenosine Diphosphate Ribose,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0001128,C0008377,INTERACTS_WITH,Acids,cholesterol,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0001128,C0012854,INTERACTS_WITH,Acids,DNA,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0001128,C0028606,INTERACTS_WITH,Acids,Nucleic Acids,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0001128,C0030234,INTERACTS_WITH,Acids,palmitic acid,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0001128,C0041004,INTERACTS_WITH,Acids,Triglycerides,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0001128,C0067762,INTERACTS_WITH,Acids,N-Acetylneuraminic Acid,chem,bacs,3,INTERACTS_WITH_CHEMitawBACS
C0001128,C1120584,INTERACTS_WITH,Acids,"2,2-dimethyl-3-acetyl-cyclobutyl-ethanal",chem,bacs,2,INTERACTS_WITH_CHEMitawBACS
C0001128,C1764827,INTERACTS_WITH,Acids,Isolate - microorganism,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0007269,INTERACTS_WITH,Ligands,Carotene,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0027908,INTERACTS_WITH,Ligands,Neurotransmitters,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0028158,INTERACTS_WITH,Ligands,nitrogen,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0028606,INTERACTS_WITH,Ligands,Nucleic Acids,chem,bacs,2,INTERACTS_WITH_CHEMitawBACS
C0023688,C0030054,INTERACTS_WITH,Ligands,oxygen,chem,bacs,2,INTERACTS_WITH_CHEMitawBACS
C0023688,C0035693,INTERACTS_WITH,Ligands,"RNA, Double-Stranded",chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0035701,INTERACTS_WITH,Ligands,Ribosomal RNA,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0038774,INTERACTS_WITH,Ligands,sulfur,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0043481,INTERACTS_WITH,Ligands,zinc,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0067762,INTERACTS_WITH,Ligands,N-Acetylneuraminic Acid,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C0086860,INTERACTS_WITH,Ligands,Promoter,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0023688,C1099354,INTERACTS_WITH,Ligands,"RNA, Small Interfering",chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0030106,C0007271,INTERACTS_WITH,Ozone,Carotenoids,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0030106,C0016693,INTERACTS_WITH,Ozone,Free Radicals,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0030106,C0028606,INTERACTS_WITH,Ozone,Nucleic Acids,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0030106,C0030054,INTERACTS_WITH,Ozone,oxygen,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0030106,C0031676,INTERACTS_WITH,Ozone,phospholipids,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0220806,C0012854,INTERACTS_WITH,Chemicals,DNA,chem,bacs,3,INTERACTS_WITH_CHEMitawBACS
C0220806,C0022949,INTERACTS_WITH,Chemicals,lactose,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0220806,C0041942,INTERACTS_WITH,Chemicals,urea,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
C0220806,C0577749,INTERACTS_WITH,Chemicals,Phytochemicals,chem,bacs,1,INTERACTS_WITH_CHEMitawBACS
