cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001128,C0015101,INTERACTS_WITH,Acids,Ethylmaleimide,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0001128,C0034423,INTERACTS_WITH,Acids,quinoline,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0001128,C0034760,INTERACTS_WITH,Acids,Reagents,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0001128,C0037638,INTERACTS_WITH,Acids,Solvents,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0001128,C0052799,INTERACTS_WITH,Acids,Carmoisine A,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0001128,C0376446,INTERACTS_WITH,Acids,Reducing Agents,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0023688,C0006353,INTERACTS_WITH,Ligands,Buffers,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
C0023688,C0016320,INTERACTS_WITH,Ligands,Fluorescent Dyes,chem,irda,2,INTERACTS_WITH_CHEMitawIRDA
C0023688,C0037638,INTERACTS_WITH,Ligands,Solvents,chem,irda,2,INTERACTS_WITH_CHEMitawIRDA
C0220806,C0037638,INTERACTS_WITH,Chemicals,Solvents,chem,irda,1,INTERACTS_WITH_CHEMitawIRDA
