cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004492,C0009325,INTERACTS_WITH,Azides,collagen,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0002520,INTERACTS_WITH,Cations,Amino Acids,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0009498,INTERACTS_WITH,Cations,Complement System Proteins,chvs,aapp,2,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0010749,INTERACTS_WITH,Cations,Cytochromes c,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0021740,INTERACTS_WITH,Cations,Recombinant Interferon-gamma,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0023206,INTERACTS_WITH,Cations,Lectin,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0033640,INTERACTS_WITH,Cations,Protein Kinases,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0036825,INTERACTS_WITH,Cations,Serum Proteins,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0041538,INTERACTS_WITH,Cations,Ubiquitin,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0084088,INTERACTS_WITH,Cations,poliovirus receptor,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0243045,INTERACTS_WITH,Cations,Cyclin-Dependent Kinases,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0598996,INTERACTS_WITH,Cations,chromatin protein,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C0599561,INTERACTS_WITH,Cations,e protein,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C1333530,INTERACTS_WITH,Cations,FADD gene,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C1416952,INTERACTS_WITH,Cations,M6PR gene,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C1708010,INTERACTS_WITH,Cations,FES wt Allele,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007447,C1825598,INTERACTS_WITH,Cations,IMPACT gene,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007448,C0021701,INTERACTS_WITH,"Cations, Divalent",Integrins,chvs,aapp,2,INTERACTS_WITH_CHVSitawAAPP
C0007448,C0025234,INTERACTS_WITH,"Cations, Divalent",Melitten,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007448,C1334043,INTERACTS_WITH,"Cations, Divalent",Homologous Gene,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0007448,C1335439,INTERACTS_WITH,"Cations, Divalent",Polymerase,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0012771,C0011696,INTERACTS_WITH,Disulfides,Desmin,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0012771,C0017824,INTERACTS_WITH,Disulfides,Glutathione Reductase,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
C0012771,C0021756,INTERACTS_WITH,Disulfides,Interleukin-2,chvs,aapp,1,INTERACTS_WITH_CHVSitawAAPP
