cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004034,C0033808,INTERACTS_WITH,Aspergillus,Pseudomonas,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0004034,C1265292,INTERACTS_WITH,Aspergillus,Methicillin-Resistant Staphylococcus aureus,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0006837,C0004611,INTERACTS_WITH,Candida albicans,Bacteria,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0006837,C0038172,INTERACTS_WITH,Candida albicans,Staphylococcus aureus,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0016832,C0004611,INTERACTS_WITH,Fungi,Bacteria,fngs,bact,2,INTERACTS_WITH_FNGSitawBACT
C0016832,C0033809,INTERACTS_WITH,Fungi,Pseudomonas aeruginosa,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0016832,C0038172,INTERACTS_WITH,Fungi,Staphylococcus aureus,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0016832,C0751985,INTERACTS_WITH,Fungi,Proteobacteria,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0036025,C0004611,INTERACTS_WITH,Saccharomyces cerevisiae,Bacteria,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0036025,C0038172,INTERACTS_WITH,Saccharomyces cerevisiae,Staphylococcus aureus,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0036025,C0525033,INTERACTS_WITH,Saccharomyces cerevisiae,Probiotics,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0036025,C1210581,INTERACTS_WITH,Saccharomyces cerevisiae,Lactobacillales,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0319494,C0004611,INTERACTS_WITH,Mildew,Bacteria,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0319878,C0001138,INTERACTS_WITH,Candida parapsilosis,Acinetobacter,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
C0369241,C0004611,INTERACTS_WITH,Filamentous fungus,Bacteria,fngs,bact,1,INTERACTS_WITH_FNGSitawBACT
