cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0210353,C0040549,INTERACTS_WITH,GM 6001,Toxin,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C0812285,C1101610,INTERACTS_WITH,PVT1 gene,MicroRNAs,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1332072,C1519315,INTERACTS_WITH,AKAP9 gene,Signaling Molecule,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1332705,C0012854,INTERACTS_WITH,CCRL2 gene,DNA,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1333254,C0013030,INTERACTS_WITH,DRD4 gene,dopamine,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1333693,C0048893,INTERACTS_WITH,GPR32 gene,lipoxin A4,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1333909,C0012854,INTERACTS_WITH,HMGB2 gene,DNA,gngm,bacs,2,INTERACTS_WITH_GNGMitawBACS
C1336671,C0028606,INTERACTS_WITH,TREX2 gene,Nucleic Acids,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1337034,C0012854,INTERACTS_WITH,XRCC5 gene,DNA,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1412093,C0012854,INTERACTS_WITH,ABCF1 gene,DNA,gngm,bacs,3,INTERACTS_WITH_GNGMitawBACS
C1412125,C0001026,INTERACTS_WITH,ACLY gene,acetyl coenzyme A,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1412125,C0009226,INTERACTS_WITH,ACLY gene,coenzyme A,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1412375,C0006675,INTERACTS_WITH,AMBN gene,calcium,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1412627,C0009968,INTERACTS_WITH,ATOX1 gene,copper,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1412739,C0008377,INTERACTS_WITH,BASP1 gene,cholesterol,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1414139,C0012991,INTERACTS_WITH,DPM3 gene,Dolichol Monophosphate Mannose,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1414201,C0008377,INTERACTS_WITH,DVL2 gene,cholesterol,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1414521,C0015687,INTERACTS_WITH,FADS1 gene,"Fatty Acids, Monounsaturated",gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1415206,C0038636,INTERACTS_WITH,GPR1 gene,sucrose,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1415612,C0012854,INTERACTS_WITH,HMG20B gene,DNA,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1415668,C0012854,INTERACTS_WITH,HOXB5 gene,DNA,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1415754,C4743777,INTERACTS_WITH,DNAJA1 gene,Activator,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1416664,C3494205,INTERACTS_WITH,KLHL1 gene,Antioxidant Response Elements,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1416692,C0887945,INTERACTS_WITH,KLC1 gene,"RNA, Messenger, Maternal",gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1418237,C0242494,INTERACTS_WITH,PABPN1 gene,Poly(A) Tail,gngm,bacs,2,INTERACTS_WITH_GNGMitawBACS
C1419239,C0012854,INTERACTS_WITH,RAD50 gene,DNA,gngm,bacs,2,INTERACTS_WITH_GNGMitawBACS
C1419873,C0009968,INTERACTS_WITH,SCO2 gene,copper,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1419908,C0041536,INTERACTS_WITH,SDHC gene,ubidecarenone,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1419909,C0041536,INTERACTS_WITH,SDHD gene,ubidecarenone,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1419958,C0040549,INTERACTS_WITH,SEMA6C gene,Toxin,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
C1420429,C0008377,INTERACTS_WITH,SSR2 gene,cholesterol,gngm,bacs,1,INTERACTS_WITH_GNGMitawBACS
