cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0003316,INTERACTS_WITH,Immunologic Adjuvants,Epitopes,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0003320,INTERACTS_WITH,Immunologic Adjuvants,Antigens,imft,imft,10,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0004359,INTERACTS_WITH,Immunologic Adjuvants,Autoantigens,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0004632,INTERACTS_WITH,Immunologic Adjuvants,Bacterial Vaccines,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0021403,INTERACTS_WITH,Immunologic Adjuvants,Influenza virus vaccine,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0023767,INTERACTS_WITH,Immunologic Adjuvants,Lipid A,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0042212,INTERACTS_WITH,Immunologic Adjuvants,"Vaccines, Inactivated",imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0206255,INTERACTS_WITH,Immunologic Adjuvants,Malaria Vaccines,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0376613,INTERACTS_WITH,Immunologic Adjuvants,"Vaccines, DNA",imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0599934,INTERACTS_WITH,Immunologic Adjuvants,"Vaccines, Peptide",imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0001551,C0887892,INTERACTS_WITH,Immunologic Adjuvants,"Vaccines, Subunit",imft,imft,3,INTERACTS_WITH_IMFTitawIMFT
C0001551,C1519887,INTERACTS_WITH,Immunologic Adjuvants,Vaccine Antigen,imft,imft,3,INTERACTS_WITH_IMFTitawIMFT
C0001697,C0002092,INTERACTS_WITH,Aeroallergen,Allergens,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0002092,C0001551,INTERACTS_WITH,Allergens,Immunologic Adjuvants,imft,imft,2,INTERACTS_WITH_IMFTitawIMFT
C0002092,C0001697,INTERACTS_WITH,Allergens,Aeroallergen,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0002092,C0599934,INTERACTS_WITH,Allergens,"Vaccines, Peptide",imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0002131,C0022144,INTERACTS_WITH,Alloantigens,Isoantibodies,imft,imft,2,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0001551,INTERACTS_WITH,Epitopes,Immunologic Adjuvants,imft,imft,2,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0003320,INTERACTS_WITH,Epitopes,Antigens,imft,imft,17,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0004359,INTERACTS_WITH,Epitopes,Autoantigens,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0005457,INTERACTS_WITH,Epitopes,"Binding Sites, Antibody",imft,imft,4,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0005525,INTERACTS_WITH,Epitopes,Biological Response Modifiers,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0021403,INTERACTS_WITH,Epitopes,Influenza virus vaccine,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0042211,INTERACTS_WITH,Epitopes,"Vaccines, Attenuated",imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0078968,INTERACTS_WITH,Epitopes,"Antigens, Immunodominant",imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
C0003316,C0085355,INTERACTS_WITH,Epitopes,Human Platelet Antigens,imft,imft,1,INTERACTS_WITH_IMFTitawIMFT
