cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004611,C0038425,LOCATION_OF,Bacteria,streptomycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0004611,C0282215,LOCATION_OF,Bacteria,beta-Lactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0004613,C0003240,LOCATION_OF,"Bacteria, Anaerobic",Macrolide Antibiotics,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0014346,C0006968,LOCATION_OF,Enterobacteriaceae,Carbapenems,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0014346,C0026458,LOCATION_OF,Enterobacteriaceae,Monobactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0014346,C1120106,LOCATION_OF,Enterobacteriaceae,ertapenem,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0018150,C0006968,LOCATION_OF,Gram Negative Bacteria,Carbapenems,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0018154,C0014806,LOCATION_OF,Gram-Positive Bacteria,erythromycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0018154,C0052796,LOCATION_OF,Gram-Positive Bacteria,azithromycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0026926,C0003240,LOCATION_OF,Mycobacterium tuberculosis,Macrolide Antibiotics,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0026926,C0035608,LOCATION_OF,Mycobacterium tuberculosis,rifampin,bact,antb,2,LOCATION_OF_BACTlocfANTB
C0033808,C0002680,LOCATION_OF,Pseudomonas,ampicillin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0033808,C0030842,LOCATION_OF,Pseudomonas,penicillins,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0033808,C0282215,LOCATION_OF,Pseudomonas,beta-Lactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0033808,C3536856,LOCATION_OF,Pseudomonas,Cephalosporins,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0033809,C0022914,LOCATION_OF,Pseudomonas aeruginosa,Lactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038170,C0025643,LOCATION_OF,Genus staphylococcus,methicillin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038170,C0026458,LOCATION_OF,Genus staphylococcus,Monobactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038170,C0029983,LOCATION_OF,Genus staphylococcus,oxacillin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038170,C0030842,LOCATION_OF,Genus staphylococcus,penicillins,bact,antb,4,LOCATION_OF_BACTlocfANTB
C0038410,C0003240,LOCATION_OF,Streptococcus pneumoniae,Macrolide Antibiotics,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038410,C0030842,LOCATION_OF,Streptococcus pneumoniae,penicillins,bact,antb,3,LOCATION_OF_BACTlocfANTB
C0038410,C0536495,LOCATION_OF,Streptococcus pneumoniae,moxifloxacin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038411,C0030842,LOCATION_OF,Streptococcus pyogenes,penicillins,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0038420,C0041385,LOCATION_OF,Streptomyces,Tunicamycin,bact,antb,2,LOCATION_OF_BACTlocfANTB
C0079488,C0055856,LOCATION_OF,Helicobacter pylori,clarithromycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0081786,C0282386,LOCATION_OF,Microbial Biofilms,levofloxacin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0086948,C0014806,LOCATION_OF,Saccharopolyspora erythraea,erythromycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0563199,C0002680,LOCATION_OF,bacterial cell,ampicillin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0563199,C0016610,LOCATION_OF,bacterial cell,fosfomycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0563199,C0022914,LOCATION_OF,bacterial cell,Lactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0995729,C0073987,LOCATION_OF,Streptomyces albus,salinomycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0995750,C0077063,LOCATION_OF,Streptomyces hygroscopicus,trichostatin A,bact,antb,1,LOCATION_OF_BACTlocfANTB
C0995765,C0074024,LOCATION_OF,Streptomyces rimosus,sangivamycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C1210581,C0310367,LOCATION_OF,Lactobacillales,Today,bact,antb,1,LOCATION_OF_BACTlocfANTB
C1264774,C0022914,LOCATION_OF,Acinetobacter species,Lactams,bact,antb,1,LOCATION_OF_BACTlocfANTB
C1265234,C0262967,LOCATION_OF,Nontuberculous Mycobacteria,dihydrostreptomycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C1265292,C3854019,LOCATION_OF,Methicillin-Resistant Staphylococcus aureus,gentamicin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C1444090,C0052796,LOCATION_OF,Resistant bacteria,azithromycin,bact,antb,1,LOCATION_OF_BACTlocfANTB
C1650041,C2344229,LOCATION_OF,bacterium 10,Ery,bact,antb,1,LOCATION_OF_BACTlocfANTB
C3905830,C0125179,LOCATION_OF,Streptomyces lactacystinaeus,lactacystin,bact,antb,1,LOCATION_OF_BACTlocfANTB
