cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001629,C0028259,LOCATION_OF,Adrenal Medulla,Nodule,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0002708,C0334139,LOCATION_OF,Amygdaloid structure,Microglial nodules,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003483,C0332853,LOCATION_OF,Aorta,Anastomosis,bpoc,acab,4,LOCATION_OF_BPOClocfACAB
C0003483,C0333307,LOCATION_OF,Aorta,Superficial ulcer,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003483,C0333463,LOCATION_OF,Aorta,Senile Plaques,bpoc,acab,2,LOCATION_OF_BPOClocfACAB
C0003707,C0333161,LOCATION_OF,Arachnoid mater,Pseudocyst,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003707,C0334156,LOCATION_OF,Arachnoid mater,Fibrous adhesion,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003842,C0001168,LOCATION_OF,Arteries,Complete obstruction,bpoc,acab,35,LOCATION_OF_BPOClocfACAB
C0003842,C0028259,LOCATION_OF,Arteries,Nodule,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003842,C0332853,LOCATION_OF,Arteries,Anastomosis,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003842,C0333183,LOCATION_OF,Arteries,Partial stenosis,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003842,C0333203,LOCATION_OF,Arteries,Occlusive thrombus,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003842,C0333307,LOCATION_OF,Arteries,Superficial ulcer,bpoc,acab,3,LOCATION_OF_BPOClocfACAB
C0003842,C0333463,LOCATION_OF,Arteries,Senile Plaques,bpoc,acab,4,LOCATION_OF_BPOClocfACAB
C0003842,C0333630,LOCATION_OF,Arteries,Fibrosiderotic nodule,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0003847,C0001168,LOCATION_OF,Structure of arteriole,Complete obstruction,bpoc,acab,4,LOCATION_OF_BPOClocfACAB
C0005400,C0333133,LOCATION_OF,Bile duct structure,Mucus cast,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0005423,C0001168,LOCATION_OF,Biliary tract structure,Complete obstruction,bpoc,acab,2,LOCATION_OF_BPOClocfACAB
C0005682,C0028259,LOCATION_OF,Urinary Bladder,Nodule,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0005847,C0001168,LOCATION_OF,Blood Vessel,Complete obstruction,bpoc,acab,20,LOCATION_OF_BPOClocfACAB
C0005847,C0028259,LOCATION_OF,Blood Vessel,Nodule,bpoc,acab,2,LOCATION_OF_BPOClocfACAB
C0005847,C0152459,LOCATION_OF,Blood Vessel,Linear atrophy,bpoc,acab,3,LOCATION_OF_BPOClocfACAB
C0005847,C0332853,LOCATION_OF,Blood Vessel,Anastomosis,bpoc,acab,17,LOCATION_OF_BPOClocfACAB
C0005847,C0333222,LOCATION_OF,Blood Vessel,Septic embolus,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0005847,C0333227,LOCATION_OF,Blood Vessel,Microembolus,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0005847,C0333307,LOCATION_OF,Blood Vessel,Superficial ulcer,bpoc,acab,5,LOCATION_OF_BPOClocfACAB
C0005847,C0334070,LOCATION_OF,Blood Vessel,Maturation defect,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0005847,C0442832,LOCATION_OF,Blood Vessel,Alveolar rupture,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0005847,C2936380,LOCATION_OF,Blood Vessel,Neointima,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0006104,C0028259,LOCATION_OF,Brain,Nodule,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0006104,C0333463,LOCATION_OF,Brain,Senile Plaques,bpoc,acab,29,LOCATION_OF_BPOClocfACAB
C0006104,C0334070,LOCATION_OF,Brain,Maturation defect,bpoc,acab,2,LOCATION_OF_BPOClocfACAB
C0006104,C0334139,LOCATION_OF,Brain,Microglial nodules,bpoc,acab,4,LOCATION_OF_BPOClocfACAB
C0006104,C0740391,LOCATION_OF,Brain,Middle Cerebral Artery Occlusion,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0006104,C2936349,LOCATION_OF,Brain,"Plaque, Amyloid",bpoc,acab,7,LOCATION_OF_BPOClocfACAB
C0006104,C2937226,LOCATION_OF,Brain,Transtentorial hernia,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0006121,C0334139,LOCATION_OF,Brain Stem,Microglial nodules,bpoc,acab,5,LOCATION_OF_BPOClocfACAB
C0006141,C0028259,LOCATION_OF,Breast,Nodule,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0006141,C0333307,LOCATION_OF,Breast,Superficial ulcer,bpoc,acab,1,LOCATION_OF_BPOClocfACAB
C0006255,C0001168,LOCATION_OF,Bronchi,Complete obstruction,bpoc,acab,2,LOCATION_OF_BPOClocfACAB
C0006255,C0028259,LOCATION_OF,Bronchi,Nodule,bpoc,acab,2,LOCATION_OF_BPOClocfACAB
