cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003087,C0178913,LOCATION_OF,Ankle joint structure,Blood specimen,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0005888,C0005767,LOCATION_OF,Body Fluid Compartments,Blood,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0005888,C0042036,LOCATION_OF,Body Fluid Compartments,Urine,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0007769,C0302306,LOCATION_OF,Cerebral aqueduct,Inflammatory exudate,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0007799,C0005767,LOCATION_OF,Cerebral Ventricles,Blood,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0007799,C0005889,LOCATION_OF,Cerebral Ventricles,Body Fluids,bsoj,bdsu,3,LOCATION_OF_BSOJlocfBDSU
C0007799,C0007806,LOCATION_OF,Cerebral Ventricles,Cerebrospinal Fluid,bsoj,bdsu,4,LOCATION_OF_BSOJlocfBDSU
C0007799,C0015349,LOCATION_OF,Cerebral Ventricles,Extracellular Fluid,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0013455,C0005889,LOCATION_OF,middle ear,Body Fluids,bsoj,bdsu,29,LOCATION_OF_BSOJlocfBDSU
C0013455,C0012621,LOCATION_OF,middle ear,Body Fluid Discharge,bsoj,bdsu,5,LOCATION_OF_BSOJlocfBDSU
C0013455,C0015388,LOCATION_OF,middle ear,Exudate,bsoj,bdsu,4,LOCATION_OF_BSOJlocfBDSU
C0013455,C0026727,LOCATION_OF,middle ear,Mucous body substance,bsoj,bdsu,2,LOCATION_OF_BSOJlocfBDSU
C0013455,C0034161,LOCATION_OF,middle ear,Pus,bsoj,bdsu,4,LOCATION_OF_BSOJlocfBDSU
C0013455,C0038352,LOCATION_OF,middle ear,Gastric Content,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
C0013455,C0229671,LOCATION_OF,middle ear,Serum,bsoj,bdsu,2,LOCATION_OF_BSOJlocfBDSU
C0013455,C0302306,LOCATION_OF,middle ear,Inflammatory exudate,bsoj,bdsu,1,LOCATION_OF_BSOJlocfBDSU
