cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0041213,LOCATION_OF,Plasma membrane,trypan blue,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0007603,C0046056,LOCATION_OF,Plasma membrane,fluorodeoxyglucose F18,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0007603,C0060549,LOCATION_OF,Plasma membrane,fluorexon stain,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0007603,C0215706,LOCATION_OF,Plasma membrane,tris(2-carboxyethyl)phosphine,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0007637,C1096868,LOCATION_OF,Inclusion Bodies,DC Red No. 8,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0010834,C0060549,LOCATION_OF,Cytoplasm,fluorexon stain,celc,irda,2,LOCATION_OF_CELClocfIRDA
C0010834,C0250829,LOCATION_OF,Cytoplasm,cyanine dye 5,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0010851,C0136454,LOCATION_OF,Cytoskeletal Filaments,fluorescein isothiocyanate-phalloidin,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0011305,C0013254,LOCATION_OF,Dendrites,pentetic acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0023768,C0012456,LOCATION_OF,Lipid Bilayers,dimyristoylphosphatidylcholine,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0023768,C0019215,LOCATION_OF,Lipid Bilayers,HEPES,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0026237,C0044565,LOCATION_OF,Mitochondria,1-palmitoyl-2-(10-(4-((trifluoromethyl)diazirinyl)phenyl)-8-oxadecanoyl)-sn-glycero-3-phosphocholine,celc,irda,2,LOCATION_OF_CELClocfIRDA
C0026237,C0060520,LOCATION_OF,Mitochondria,fluorescein,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0026237,C0060549,LOCATION_OF,Mitochondria,fluorexon stain,celc,irda,4,LOCATION_OF_CELClocfIRDA
C0029219,C1531412,LOCATION_OF,Organelles,LysoTracker,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042219,C0069388,LOCATION_OF,Vacuole,solvent red 27,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042760,C0012788,LOCATION_OF,Virion,Dithionitrobenzoic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042760,C0028132,LOCATION_OF,Virion,Nitrilotriacetic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042760,C0134649,LOCATION_OF,Virion,p-Chloromercuribenzoic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0085187,C0034251,LOCATION_OF,telomere,pyridine,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0085187,C0053353,LOCATION_OF,telomere,"N,N-bis(2-hydroxyethyl)aminoethanesulfonic acid",celc,irda,2,LOCATION_OF_CELClocfIRDA
C0175996,C0016979,LOCATION_OF,Protoplasm,gallic acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0027941,LOCATION_OF,Protoplasm,Neutral Red,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0085216,LOCATION_OF,Protoplasm,Fluorescein-5-isothiocyanate,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0521119,C0013714,LOCATION_OF,Extracellular,egtazic acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0521119,C0134177,LOCATION_OF,Extracellular,"2-nitrophenylgalactoside, (beta-D)-isomer",celc,irda,1,LOCATION_OF_CELClocfIRDA
C0596901,C0010558,LOCATION_OF,Membrane,cyclodextrins,celc,irda,2,LOCATION_OF_CELClocfIRDA
C0596901,C0015205,LOCATION_OF,Membrane,Evans blue,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0596901,C0051704,LOCATION_OF,Membrane,ammonium acetate,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1167033,C0600322,LOCATION_OF,symbiont-containing vacuole,Rhodamine,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1167267,C0030123,LOCATION_OF,subrhabdomeral cisterna,4-aminohippuric acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1325742,C0010558,LOCATION_OF,Pore,cyclodextrins,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1383501,C0060520,LOCATION_OF,Cytoplasmic matrix,fluorescein,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1383501,C0060549,LOCATION_OF,Cytoplasmic matrix,fluorexon stain,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1511546,C0058494,LOCATION_OF,Crosslinker,dithiobis(succinimidylpropionate),celc,irda,2,LOCATION_OF_CELClocfIRDA
C1523842,C1096868,LOCATION_OF,dendritic shaft,DC Red No. 8,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1749467,C0010467,LOCATION_OF,soluble,curcumin,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1749467,C0021936,LOCATION_OF,soluble,inulin,celc,irda,6,LOCATION_OF_CELClocfIRDA
