cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0007587,LOCATION_OF,Armed macrophage,Cell Death,cell,celf,2,LOCATION_OF_CELLlocfCELF
C0001280,C0008018,LOCATION_OF,Armed macrophage,Chemotaxis,cell,celf,2,LOCATION_OF_CELLlocfCELF
C0001280,C0031308,LOCATION_OF,Armed macrophage,Phagocytosis,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0001280,C0042774,LOCATION_OF,Armed macrophage,Virus Replication,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0001280,C0085416,LOCATION_OF,Armed macrophage,Respiratory Burst,cell,celf,2,LOCATION_OF_CELLlocfCELF
C0001280,C0162638,LOCATION_OF,Armed macrophage,Apoptosis,cell,celf,5,LOCATION_OF_CELLlocfCELF
C0003273,C1155003,LOCATION_OF,Antibody-Producing Cells,B-Cell Activation,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003273,C1817697,LOCATION_OF,Antibody-Producing Cells,plasma cell differentiation,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003273,C2752630,LOCATION_OF,Antibody-Producing Cells,terminal differentiation,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C0004391,LOCATION_OF,Antigen-Presenting Cells,Autophagy,cell,celf,4,LOCATION_OF_CELLlocfCELF
C0003315,C0008018,LOCATION_OF,Antigen-Presenting Cells,Chemotaxis,cell,celf,2,LOCATION_OF_CELLlocfCELF
C0003315,C0031308,LOCATION_OF,Antigen-Presenting Cells,Phagocytosis,cell,celf,3,LOCATION_OF_CELLlocfCELF
C0003315,C0037083,LOCATION_OF,Antigen-Presenting Cells,Signal Transduction,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C0042774,LOCATION_OF,Antigen-Presenting Cells,Virus Replication,cell,celf,2,LOCATION_OF_CELLlocfCELF
C0003315,C0162638,LOCATION_OF,Antigen-Presenting Cells,Apoptosis,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C0206430,LOCATION_OF,Antigen-Presenting Cells,Antigen Processing,cell,celf,3,LOCATION_OF_CELLlocfCELF
C0003315,C0206431,LOCATION_OF,Antigen-Presenting Cells,Antigen Presentation,cell,celf,3,LOCATION_OF_CELLlocfCELF
C0003315,C0678836,LOCATION_OF,Antigen-Presenting Cells,cell recognition,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C1155065,LOCATION_OF,Antigen-Presenting Cells,T-Cell Activation,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C1155075,LOCATION_OF,Antigen-Presenting Cells,monocyte activation,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C1155229,LOCATION_OF,Antigen-Presenting Cells,Humoral immune response,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C1257986,LOCATION_OF,Antigen-Presenting Cells,Cross-Presentation,cell,celf,3,LOCATION_OF_CELLlocfCELF
C0003315,C1516014,LOCATION_OF,Antigen-Presenting Cells,Antigen Presentation Pathway,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C1523156,LOCATION_OF,Antigen-Presenting Cells,NK T cell activation,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C1523908,LOCATION_OF,Antigen-Presenting Cells,apoptotic cell clearance,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0003315,C3156758,LOCATION_OF,Antigen-Presenting Cells,T cell migration,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0004112,C0007582,LOCATION_OF,Astrocytes,Cell Communication,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0004112,C0007586,LOCATION_OF,Astrocytes,Cell Cycle,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0004112,C0007587,LOCATION_OF,Astrocytes,Cell Death,cell,celf,9,LOCATION_OF_CELLlocfCELF
C0004112,C0007620,LOCATION_OF,Astrocytes,Cell Survival,cell,celf,3,LOCATION_OF_CELLlocfCELF
C0004112,C0010813,LOCATION_OF,Astrocytes,Cytokinesis,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0004112,C0014139,LOCATION_OF,Astrocytes,Endocytosis,cell,celf,4,LOCATION_OF_CELLlocfCELF
C0004112,C0025251,LOCATION_OF,Astrocytes,Membrane Potentials,cell,celf,4,LOCATION_OF_CELLlocfCELF
C0004112,C0031308,LOCATION_OF,Astrocytes,Phagocytosis,cell,celf,1,LOCATION_OF_CELLlocfCELF
C0004112,C0037083,LOCATION_OF,Astrocytes,Signal Transduction,cell,celf,5,LOCATION_OF_CELLlocfCELF
