cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C2986594,LOCATION_OF,Armed macrophage,Mouse Model,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0004112,C0014072,LOCATION_OF,Astrocytes,Experimental Autoimmune Encephalomyelitis,cell,emod,3,LOCATION_OF_CELLlocfEMOD
C0004112,C2986594,LOCATION_OF,Astrocytes,Mouse Model,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0005955,C2986594,LOCATION_OF,Bone Marrow Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0007600,C1520166,LOCATION_OF,Cultured Cell Line,Xenograft Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0007600,C1522225,LOCATION_OF,Cultured Cell Line,Knock-out,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0007600,C2986594,LOCATION_OF,Cultured Cell Line,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0007600,C3897262,LOCATION_OF,Cultured Cell Line,U251,cell,emod,3,LOCATION_OF_CELLlocfEMOD
C0007600,C3897399,LOCATION_OF,Cultured Cell Line,T-47D,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0007600,C3898998,LOCATION_OF,Cultured Cell Line,HCT-116,cell,emod,3,LOCATION_OF_CELLlocfEMOD
C0007600,C3899818,LOCATION_OF,Cultured Cell Line,CCRF-CEM,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0011306,C2986594,LOCATION_OF,Dendritic Cells,Mouse Model,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0014467,C2986594,LOCATION_OF,eosinophil,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0014597,C0012644,LOCATION_OF,Epithelial Cells,Animal Disease Models,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0014597,C1519606,LOCATION_OF,Epithelial Cells,Transgenic Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0014597,C2986594,LOCATION_OF,Epithelial Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0024264,C0971858,LOCATION_OF,Lymphocyte,"Arthritis, Collagen-Induced",cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0024264,C2986594,LOCATION_OF,Lymphocyte,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0024432,C2986594,LOCATION_OF,macrophage,Mouse Model,cell,emod,5,LOCATION_OF_CELLlocfEMOD
C0026473,C1522225,LOCATION_OF,Monocytes,Knock-out,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027882,C0014072,LOCATION_OF,Neurons,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027882,C1522225,LOCATION_OF,Neurons,Knock-out,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027882,C2986594,LOCATION_OF,Neurons,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027950,C0012644,LOCATION_OF,neutrophil,Animal Disease Models,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027950,C2986594,LOCATION_OF,neutrophil,Mouse Model,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0029974,C0004565,LOCATION_OF,Ovum,"Melanoma, B16",cell,emod,6,LOCATION_OF_CELLlocfEMOD
C0029974,C2986594,LOCATION_OF,Ovum,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
