cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000781,C0042210,LOCATION_OF,Aborted Fetus (structure),Vaccines,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0002084,C1414244,LOCATION_OF,Structure of allantois,ECE1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0002630,C1422341,LOCATION_OF,Structure of amnion,PEG10 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0005705,C1428863,LOCATION_OF,Embryo stage 3 structure,TET1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0005705,C1825692,LOCATION_OF,Embryo stage 3 structure,TET2 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008046,C0003765,LOCATION_OF,Chick Embryo,arginine,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008046,C0042210,LOCATION_OF,Chick Embryo,Vaccines,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008046,C0700271,LOCATION_OF,Chick Embryo,"M Protein, multiple myeloma",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008046,C4084937,LOCATION_OF,Chick Embryo,Antimicrobial Peptide,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008503,C0030016,LOCATION_OF,Chorion,Oxidoreductase,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008503,C0052193,LOCATION_OF,Chorion,apolipoprotein D,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008508,C0003009,LOCATION_OF,Chorionic villi,angiotensin II,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008508,C0024746,LOCATION_OF,Chorionic villi,Mannosidase,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008508,C0052193,LOCATION_OF,Chorionic villi,apolipoprotein D,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008508,C0729663,LOCATION_OF,Chorionic villi,Maternal antibody,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008508,C0913092,LOCATION_OF,Chorionic villi,DC-specific ICAM-3 grabbing nonintegrin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013574,C0016026,LOCATION_OF,Ectoderm,Fibroblast Growth Factor,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013702,C1823381,LOCATION_OF,Egg Shell,TMEM121 gene,emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0013935,C0002199,LOCATION_OF,Embryo,Interferon-alpha,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0006631,LOCATION_OF,Embryo,Cadherins,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
