cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001774,C0051543,LOCATION_OF,Agaricales,amatoxin,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0004034,C0014264,LOCATION_OF,Aspergillus,Endotoxins,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0004034,C0304076,LOCATION_OF,Aspergillus,Nephrotoxic mycotoxin,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0004036,C0001734,LOCATION_OF,Aspergillus flavus,Aflatoxins,fngs,hops,3,LOCATION_OF_FNGSlocfHOPS
C0004039,C0304082,LOCATION_OF,Aspergillus niger,Fumonisins,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0014181,C0026879,LOCATION_OF,Saccharomycetales,Mutagens,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0016832,C0022108,LOCATION_OF,Fungi,Irritants,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0016832,C0025800,LOCATION_OF,Fungi,Methylnitronitrosoguanidine,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0016832,C0026955,LOCATION_OF,Fungi,Mycotoxins,fngs,hops,3,LOCATION_OF_FNGSlocfHOPS
C0016832,C0031253,LOCATION_OF,Fungi,Pesticides,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0016832,C0066256,LOCATION_OF,Fungi,methyl isocyanate,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0016832,C0069299,LOCATION_OF,Fungi,ochratoxin A,fngs,hops,2,LOCATION_OF_FNGSlocfHOPS
C0016832,C0599787,LOCATION_OF,Fungi,toxicant,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0030843,C0304076,LOCATION_OF,Penicillium,Nephrotoxic mycotoxin,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0036025,C0001963,LOCATION_OF,Saccharomyces cerevisiae,methanol,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0036025,C0002073,LOCATION_OF,Saccharomyces cerevisiae,Alkylating Agents,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0036025,C0016564,LOCATION_OF,Saccharomyces cerevisiae,formaldehyde,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0036025,C0025706,LOCATION_OF,Saccharomyces cerevisiae,Methyl Methanesulfonate,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0036025,C0031488,LOCATION_OF,Saccharomyces cerevisiae,phenylmercuric acetate,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0038118,C0026955,LOCATION_OF,Stachybotrys,Mycotoxins,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0319925,C0001734,LOCATION_OF,Aspergillus parasiticus,Aflatoxins,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0319978,C0069299,LOCATION_OF,Penicillium viridicatum,ochratoxin A,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0320160,C0026955,LOCATION_OF,Stachybotrys chartarum,Mycotoxins,fngs,hops,2,LOCATION_OF_FNGSlocfHOPS
C0369241,C0014264,LOCATION_OF,Filamentous fungus,Endotoxins,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0446010,C0950580,LOCATION_OF,Cryptococcus gattii,sentinel,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0521057,C0001734,LOCATION_OF,Hyphae,Aflatoxins,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C0521057,C0032346,LOCATION_OF,Hyphae,Poisons,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
C3146225,C0392419,LOCATION_OF,Puccinia striiformis var. striiformis,Industrial fungicide,fngs,hops,1,LOCATION_OF_FNGSlocfHOPS
