cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001180,C0074992,LOCATION_OF,Acremonium,sphingosine 1-phosphate,fngs,orch,3,LOCATION_OF_FNGSlocfORCH
C0001774,C0017696,LOCATION_OF,Agaricales,Glucans,fngs,orch,6,LOCATION_OF_FNGSlocfORCH
C0001774,C0024730,LOCATION_OF,Agaricales,mannitol,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0001774,C0025938,LOCATION_OF,Agaricales,Micelles,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0001774,C0028910,LOCATION_OF,Agaricales,"Oils, Volatile",fngs,orch,3,LOCATION_OF_FNGSlocfORCH
C0001774,C0028959,LOCATION_OF,Agaricales,Oligosaccharides,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0001774,C0032594,LOCATION_OF,Agaricales,Polysaccharides,fngs,orch,20,LOCATION_OF_FNGSlocfORCH
C0001774,C0041175,LOCATION_OF,Agaricales,tromethamine,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0001774,C0162969,LOCATION_OF,Agaricales,chitosan,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0001774,C0225326,LOCATION_OF,Agaricales,fiber,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0001774,C0359916,LOCATION_OF,Agaricales,Substance with phenol structure,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0004034,C0016277,LOCATION_OF,Aspergillus,fluconazole,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0004034,C0060961,LOCATION_OF,Aspergillus,galactomannan,fngs,orch,18,LOCATION_OF_FNGSlocfORCH
C0004034,C0074992,LOCATION_OF,Aspergillus,sphingosine 1-phosphate,fngs,orch,334,LOCATION_OF_FNGSlocfORCH
C0004036,C0010648,LOCATION_OF,Aspergillus flavus,cysteamine,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0004039,C0074992,LOCATION_OF,Aspergillus niger,sphingosine 1-phosphate,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0005713,C0074992,LOCATION_OF,Blastomyces,sphingosine 1-phosphate,fngs,orch,11,LOCATION_OF_FNGSlocfORCH
C0006040,C0032594,LOCATION_OF,Botrytis,Polysaccharides,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0006836,C0074992,LOCATION_OF,Candida (fungus),sphingosine 1-phosphate,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0002062,LOCATION_OF,Candida albicans,Alkaloids,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0004504,LOCATION_OF,Candida albicans,Azoles,fngs,orch,4,LOCATION_OF_FNGSlocfORCH
C0006837,C0005117,LOCATION_OF,Candida albicans,berberine,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0017996,LOCATION_OF,Candida albicans,Glyoxylates,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0024727,LOCATION_OF,Candida albicans,Mannans,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0025942,LOCATION_OF,Candida albicans,miconazole,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0050451,LOCATION_OF,Candida albicans,acetohydroxamic acid,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0162448,LOCATION_OF,Candida albicans,Glycerophospholipids,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C0718566,LOCATION_OF,Candida albicans,Anti-Fungal,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0006837,C0910043,LOCATION_OF,Candida albicans,phospholipomannan,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0006837,C1328819,LOCATION_OF,Candida albicans,Small Molecule,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0006837,C2354838,LOCATION_OF,Candida albicans,plagiochin E,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0007929,C0074992,LOCATION_OF,Chaetomium,sphingosine 1-phosphate,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0008724,C0074992,LOCATION_OF,Chrysosporium,sphingosine 1-phosphate,fngs,orch,3,LOCATION_OF_FNGSlocfORCH
C0008886,C0074992,LOCATION_OF,Cladosporium,sphingosine 1-phosphate,fngs,orch,11,LOCATION_OF_FNGSlocfORCH
C0008912,C0074992,LOCATION_OF,Claviceps,sphingosine 1-phosphate,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0009183,C0074992,LOCATION_OF,Coccidioides,sphingosine 1-phosphate,fngs,orch,18,LOCATION_OF_FNGSlocfORCH
C0010415,C0004504,LOCATION_OF,Cryptococcus,Azoles,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0010415,C0016277,LOCATION_OF,Cryptococcus,fluconazole,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0010415,C0032594,LOCATION_OF,Cryptococcus,Polysaccharides,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0010415,C0064113,LOCATION_OF,Cryptococcus,itraconazole,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0010415,C0074992,LOCATION_OF,Cryptococcus,sphingosine 1-phosphate,fngs,orch,54,LOCATION_OF_FNGSlocfORCH
C0010415,C0718566,LOCATION_OF,Cryptococcus,Anti-Fungal,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0010416,C0032473,LOCATION_OF,Cryptococcus neoformans,Polyenes,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0010416,C0032594,LOCATION_OF,Cryptococcus neoformans,Polysaccharides,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0011635,C0076110,LOCATION_OF,Arthrodermataceae,terbinafine,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0014181,C0015690,LOCATION_OF,Saccharomycetales,"Fatty Acids, Unsaturated",fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0014529,C0074992,LOCATION_OF,Epidermophyton,sphingosine 1-phosphate,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0015298,C0074992,LOCATION_OF,Exophiala,sphingosine 1-phosphate,fngs,orch,11,LOCATION_OF_FNGSlocfORCH
C0016832,C0001975,LOCATION_OF,Fungi,Alcohols,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0002062,LOCATION_OF,Fungi,Alkaloids,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0016832,C0003174,LOCATION_OF,Fungi,Anthraquinones,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0004504,LOCATION_OF,Fungi,Azoles,fngs,orch,2,LOCATION_OF_FNGSlocfORCH
C0016832,C0007004,LOCATION_OF,Fungi,Carbohydrates,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0010206,LOCATION_OF,Fungi,coumarin,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0014695,LOCATION_OF,Fungi,ergocalciferol,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0014705,LOCATION_OF,Fungi,Ergosterol,fngs,orch,6,LOCATION_OF_FNGSlocfORCH
C0016832,C0015684,LOCATION_OF,Fungi,Fatty Acids,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0016572,LOCATION_OF,Fungi,Formates,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0017696,LOCATION_OF,Fungi,Glucans,fngs,orch,15,LOCATION_OF_FNGSlocfORCH
C0016832,C0018242,LOCATION_OF,Fungi,griseofulvin,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0023779,LOCATION_OF,Fungi,Lipids,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0024742,LOCATION_OF,Fungi,mannose,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0027388,LOCATION_OF,Fungi,Naphthoquinones,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
C0016832,C0032433,LOCATION_OF,Fungi,Polyamines,fngs,orch,1,LOCATION_OF_FNGSlocfORCH
