cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008942,C0040139,LOCATION_OF,Clients,Thyroid stimulating immunoglobulins,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0008942,C0120465,LOCATION_OF,Clients,Guanine Nucleotide Exchange Factors,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0008942,C1422271,LOCATION_OF,Clients,BAG6 gene,grup,aapp,2,LOCATION_OF_GRUPlocfAAPP
C0008942,C1539835,LOCATION_OF,Clients,SPEN gene,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0008942,C1824356,LOCATION_OF,Clients,RESF1 gene,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0008942,C1825598,LOCATION_OF,Clients,IMPACT gene,grup,aapp,4,LOCATION_OF_GRUPlocfAAPP
C0008942,C2744535,LOCATION_OF,Clients,"CD69 protein, human",grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0008942,C4284635,LOCATION_OF,Clients,SERPINF2 wt Allele,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0003241,LOCATION_OF,Community,Antibodies,grup,aapp,3,LOCATION_OF_GRUPlocfAAPP
C0009462,C0003242,LOCATION_OF,Community,"Antibodies, Anti-Idiotypic",grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0009316,LOCATION_OF,Community,colistin,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0011702,LOCATION_OF,Community,Desmosine,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0025250,LOCATION_OF,Community,Neprilysin,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0030957,LOCATION_OF,Community,Cyclic Peptides,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0035685,LOCATION_OF,Community,RNA-Directed RNA Polymerase,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0041945,LOCATION_OF,Community,Urease,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0042210,LOCATION_OF,Community,Vaccines,grup,aapp,9,LOCATION_OF_GRUPlocfAAPP
C0009462,C0042313,LOCATION_OF,Community,vancomycin,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0042720,LOCATION_OF,Community,Viral Genome,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C0009462,C0079941,LOCATION_OF,Community,Open Reading Frames,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
