cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000901,C0162326,LOCATION_OF,acceptors,DNA Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0000901,C1956150,LOCATION_OF,acceptors,Opal Stop Codon,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0005680,C0752046,LOCATION_OF,Black race,Single Nucleotide Polymorphism,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0007457,C0162326,LOCATION_OF,Caucasoid Race,DNA Sequence,humn,nusq,3,LOCATION_OF_HUMNlocfNUSQ
C0007457,C0752046,LOCATION_OF,Caucasoid Race,Single Nucleotide Polymorphism,humn,nusq,9,LOCATION_OF_HUMNlocfNUSQ
C0013018,C0009802,LOCATION_OF,Donor person,Conserved Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0013018,C0079160,LOCATION_OF,Donor person,Consensus Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0013018,C0162326,LOCATION_OF,Donor person,DNA Sequence,humn,nusq,2,LOCATION_OF_HUMNlocfNUSQ
C0013018,C0752046,LOCATION_OF,Donor person,Single Nucleotide Polymorphism,humn,nusq,2,LOCATION_OF_HUMNlocfNUSQ
C0015031,C0752046,LOCATION_OF,Ethnic group,Single Nucleotide Polymorphism,humn,nusq,5,LOCATION_OF_HUMNlocfNUSQ
C0018422,C1512886,LOCATION_OF,Roma ethnic group,Internal Ribosome Entry Sites,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0025266,C0079160,LOCATION_OF,Male population group,Consensus Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0025266,C0162326,LOCATION_OF,Male population group,DNA Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0026192,C0004793,LOCATION_OF,Minority Groups,Base Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0027567,C0162326,LOCATION_OF,African race,DNA Sequence,humn,nusq,7,LOCATION_OF_HUMNlocfNUSQ
C0027567,C0162327,LOCATION_OF,African race,RNA Sequence,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0027567,C0242610,LOCATION_OF,African race,"Codon, Initiator",humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0027567,C1883633,LOCATION_OF,African race,3' Region,humn,nusq,1,LOCATION_OF_HUMNlocfNUSQ
C0034510,C0162326,LOCATION_OF,Racial group,DNA Sequence,humn,nusq,2,LOCATION_OF_HUMNlocfNUSQ
