cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006801,C3809570,LOCATION_OF,Camels,T-CELL RECEPTOR DELTA CHAIN VARIABLE GENE CLUSTER,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0007452,C1824696,LOCATION_OF,Cattle,CEACAM20 gene,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0008139,C3540854,LOCATION_OF,Chiroptera,TBX5-AS1 gene,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0012984,C1824693,LOCATION_OF,Canis familiaris,CEACAM16 gene,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0025914,C1423032,LOCATION_OF,House mice,ULBP1 gene,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0025914,C3471421,LOCATION_OF,House mice,PP2D1 gene,mamm,gngm,2,LOCATION_OF_MAMMlocfGNGM
C0026809,C1415526,LOCATION_OF,Mus,HEYL gene,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0026809,C1427098,LOCATION_OF,Mus,SCFD1 gene,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0026809,C1706237,LOCATION_OF,Mus,SELL wt Allele,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
C0035804,C0649077,LOCATION_OF,Rodent,Kupffer cell receptor,mamm,gngm,1,LOCATION_OF_MAMMlocfGNGM
