cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001881,C0002783,LOCATION_OF,Aircraft,Epidemiologic Studies,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0004381,C0008976,LOCATION_OF,Automobiles,Clinical Trials,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C0002783,LOCATION_OF,Day Care Centers for Children,Epidemiologic Studies,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C0009933,LOCATION_OF,Day Care Centers for Children,Controlled Clinical Trials as Topic,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C0023981,LOCATION_OF,Day Care Centers for Children,Longitudinal Studies,mnob,resa,2,LOCATION_OF_MNOBlocfRESA
C0008070,C0033522,LOCATION_OF,Day Care Centers for Children,Prospective Studies,mnob,resa,2,LOCATION_OF_MNOBlocfRESA
C0008070,C0035363,LOCATION_OF,Day Care Centers for Children,Retrospective Studies,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C0302523,LOCATION_OF,Day Care Centers for Children,Observation in research,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C0600367,LOCATION_OF,Day Care Centers for Children,Seroprevalence,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C0679083,LOCATION_OF,Day Care Centers for Children,Simulations,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0008070,C1709709,LOCATION_OF,Day Care Centers for Children,Prospective Cohort Study,mnob,resa,2,LOCATION_OF_MNOBlocfRESA
C0008070,C2603343,LOCATION_OF,Day Care Centers for Children,Study,mnob,resa,11,LOCATION_OF_MNOBlocfRESA
C0023621,C0008976,LOCATION_OF,Libraries,Clinical Trials,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0023621,C0009933,LOCATION_OF,Libraries,Controlled Clinical Trials as Topic,mnob,resa,2,LOCATION_OF_MNOBlocfRESA
C0023621,C0010995,LOCATION_OF,Libraries,Data Collection,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0023621,C0013206,LOCATION_OF,Libraries,"Drug Evaluation, Preclinical",mnob,resa,2,LOCATION_OF_MNOBlocfRESA
C0023621,C0029066,LOCATION_OF,Libraries,Operations Research,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0023621,C0034656,LOCATION_OF,Libraries,Randomization,mnob,resa,2,LOCATION_OF_MNOBlocfRESA
C0023621,C0086912,LOCATION_OF,Libraries,Research Methodology,mnob,resa,1,LOCATION_OF_MNOBlocfRESA
C0023621,C0150103,LOCATION_OF,Libraries,MATCHING,mnob,resa,5,LOCATION_OF_MNOBlocfRESA
C0023621,C0679083,LOCATION_OF,Libraries,Simulations,mnob,resa,3,LOCATION_OF_MNOBlocfRESA
