cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0445623,C0007009,LOCATION_OF,Microorganism,Carbon,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0445623,C0008209,LOCATION_OF,Microorganism,chlorine,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0445623,C0013852,LOCATION_OF,Microorganism,Electrons,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0445623,C0022023,LOCATION_OF,Microorganism,Ions,orgm,elii,5,LOCATION_OF_ORGMlocfELII
C0445623,C0023175,LOCATION_OF,Microorganism,lead,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0445623,C0037125,LOCATION_OF,Microorganism,Silver,orgm,elii,2,LOCATION_OF_ORGMlocfELII
C0445623,C0038836,LOCATION_OF,Microorganism,Superoxides,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0450254,C0005642,LOCATION_OF,Pathogenic organism,bismuth,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0450254,C0022023,LOCATION_OF,Pathogenic organism,Ions,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0450254,C0037125,LOCATION_OF,Pathogenic organism,Silver,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0450254,C0347988,LOCATION_OF,Pathogenic organism,"Metals, Heavy",orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0596121,C0025424,LOCATION_OF,Aquatic Organisms,mercury,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C0686817,C0025424,LOCATION_OF,Prokaryote,mercury,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C1167395,C0031705,LOCATION_OF,Host (organism),phosphorus,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C1167395,C2346661,LOCATION_OF,Host (organism),Pb2+,orgm,elii,1,LOCATION_OF_ORGMlocfELII
C3887843,C0007009,LOCATION_OF,Microbiota (environment),Carbon,orgm,elii,1,LOCATION_OF_ORGMlocfELII
