cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002022,C0040329,LOCATION_OF,Alfalfa,Tobacco,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0004755,C0069299,LOCATION_OF,Hordeum,ochratoxin A,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0006622,C0069299,LOCATION_OF,Cacao Plant,ochratoxin A,plnt,hops,2,LOCATION_OF_PLNTlocfHOPS
C0010028,C0001734,LOCATION_OF,Zea mays,Aflatoxins,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010028,C0026955,LOCATION_OF,Zea mays,Mycotoxins,plnt,hops,3,LOCATION_OF_PLNTlocfHOPS
C0010028,C0032346,LOCATION_OF,Zea mays,Poisons,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010028,C0060836,LOCATION_OF,Zea mays,fumonisin B1,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010028,C0069299,LOCATION_OF,Zea mays,ochratoxin A,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010028,C0304082,LOCATION_OF,Zea mays,Fumonisins,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010196,C0001034,LOCATION_OF,Gossypium,Acetylaminofluorene,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010196,C0014264,LOCATION_OF,Gossypium,Endotoxins,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010196,C4044304,LOCATION_OF,Gossypium,Quilt,plnt,hops,3,LOCATION_OF_PLNTlocfHOPS
C0010196,C4508791,LOCATION_OF,Gossypium,tribenuron-methyl,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0010197,C4508791,LOCATION_OF,Cottonseed,tribenuron-methyl,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0015148,C0037366,LOCATION_OF,Eucalyptus,Smoke,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0017987,C0028816,LOCATION_OF,Glycyrrhiza,Ochratoxins,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0017987,C0040329,LOCATION_OF,Glycyrrhiza,Tobacco,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0017987,C0069299,LOCATION_OF,Glycyrrhiza,ochratoxin A,plnt,hops,4,LOCATION_OF_PLNTlocfHOPS
C0019240,C0031251,LOCATION_OF,Herb,Pesticide Residues,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0019240,C0069299,LOCATION_OF,Herb,ochratoxin A,plnt,hops,2,LOCATION_OF_PLNTlocfHOPS
C0032098,C0001963,LOCATION_OF,Plants,methanol,plnt,hops,2,LOCATION_OF_PLNTlocfHOPS
C0032098,C0005082,LOCATION_OF,Plants,Benzopyrenes,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0007468,LOCATION_OF,Plants,Caustics,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0015919,LOCATION_OF,Plants,Fertilizers,plnt,hops,4,LOCATION_OF_PLNTlocfHOPS
C0032098,C0016564,LOCATION_OF,Plants,formaldehyde,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0019236,LOCATION_OF,Plants,Herbicides,plnt,hops,3,LOCATION_OF_PLNTlocfHOPS
C0032098,C0021576,LOCATION_OF,Plants,Insecticides,plnt,hops,4,LOCATION_OF_PLNTlocfHOPS
C0032098,C0026879,LOCATION_OF,Plants,Mutagens,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0027415,LOCATION_OF,Plants,Narcotics,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0027934,LOCATION_OF,Plants,Neurotoxins,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0028040,LOCATION_OF,Plants,nicotine,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0031251,LOCATION_OF,Plants,Pesticide Residues,plnt,hops,4,LOCATION_OF_PLNTlocfHOPS
C0032098,C0031253,LOCATION_OF,Plants,Pesticides,plnt,hops,2,LOCATION_OF_PLNTlocfHOPS
C0032098,C0032334,LOCATION_OF,Plants,podofilox,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0032346,LOCATION_OF,Plants,Poisons,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0037601,LOCATION_OF,Plants,solanine,plnt,hops,2,LOCATION_OF_PLNTlocfHOPS
C0032098,C0040329,LOCATION_OF,Plants,Tobacco,plnt,hops,4,LOCATION_OF_PLNTlocfHOPS
C0032098,C0066256,LOCATION_OF,Plants,methyl isocyanate,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0079021,LOCATION_OF,Plants,Biohazardous Substance,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0301224,LOCATION_OF,Plants,Nerve gas,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0444414,LOCATION_OF,Plants,Biocides,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
C0032098,C0444631,LOCATION_OF,Plants,Toxic material,plnt,hops,1,LOCATION_OF_PLNTlocfHOPS
