cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003625,C0025701,LOCATION_OF,Genus Malus,Methyl Green,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0004755,C0086808,LOCATION_OF,Hordeum,Phytate,plnt,irda,2,LOCATION_OF_PLNTlocfIRDA
C0010028,C0021936,LOCATION_OF,Zea mays,inulin,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0032098,C0001771,LOCATION_OF,Plants,agar,plnt,irda,3,LOCATION_OF_PLNTlocfIRDA
C0032098,C0016979,LOCATION_OF,Plants,gallic acid,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0032098,C0021936,LOCATION_OF,Plants,inulin,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0032098,C0022115,LOCATION_OF,Plants,Isatin,plnt,irda,3,LOCATION_OF_PLNTlocfIRDA
C0032098,C0030123,LOCATION_OF,Plants,4-aminohippuric acid,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0032098,C0038071,LOCATION_OF,Plants,squalene,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0032098,C0086808,LOCATION_OF,Plants,Phytate,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0032098,C0294936,LOCATION_OF,Plants,FM 4-64,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0036563,C0001771,LOCATION_OF,Plant seeds,agar,plnt,irda,2,LOCATION_OF_PLNTlocfIRDA
C0087114,C0086808,LOCATION_OF,Triticum,Phytate,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0087114,C5206998,LOCATION_OF,Triticum,Monoiodoacetamide,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0242726,C0038071,LOCATION_OF,Plant Roots,squalene,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0330090,C0016979,LOCATION_OF,Flowers,gallic acid,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0330098,C0010467,LOCATION_OF,Wild plant,curcumin,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0330498,C1509471,LOCATION_OF,Brassica oleracea,Red dye,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0330656,C0005023,LOCATION_OF,Prunus dulcis,benzaldehyde,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0331487,C0016979,LOCATION_OF,Areca catechu,gallic acid,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0697238,C0162781,LOCATION_OF,Thymus vulgaris,Thiobarbituric Acid Reactive Substances,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0949790,C0010467,LOCATION_OF,Rhizome,curcumin,plnt,irda,2,LOCATION_OF_PLNTlocfIRDA
C0949790,C0016979,LOCATION_OF,Rhizome,gallic acid,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C0950101,C0010467,LOCATION_OF,Curcuma longa,curcumin,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C1037297,C0001771,LOCATION_OF,Streptocarpus ionanthus,agar,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C1261477,C0030968,LOCATION_OF,Lactuca sativa,peracetic acid,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C2700215,C0040392,LOCATION_OF,"Fruit, Immature",Tomatine,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
C2700441,C0010460,LOCATION_OF,Bark - plant part,Cuprizone,plnt,irda,1,LOCATION_OF_PLNTlocfIRDA
