cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001418,C0006826,MANIFESTATION_OF,Adenocarcinoma,Malignant Neoplasms,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0006142,C0220650,MANIFESTATION_OF,Malignant neoplasm of breast,Metastatic malignant neoplasm to brain,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0006142,C3887461,MANIFESTATION_OF,Malignant neoplasm of breast,Head and Neck Carcinoma,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0006826,C0333516,MANIFESTATION_OF,Malignant Neoplasms,Tumor necrosis,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0007103,C0006826,MANIFESTATION_OF,Malignant neoplasm of endometrium,Malignant Neoplasms,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0007137,C0242379,MANIFESTATION_OF,Squamous cell carcinoma,Malignant neoplasm of lung,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0024305,C0432487,MANIFESTATION_OF,"Lymphoma, Non-Hodgkin",Post-transplant lymphoproliferative disorder,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0025202,C0220650,MANIFESTATION_OF,melanoma,Metastatic malignant neoplasm to brain,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0026764,C0686377,MANIFESTATION_OF,Multiple Myeloma,CNS metastases,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0027627,C2939419,MANIFESTATION_OF,Neoplasm Metastasis,Secondary Neoplasm,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0027651,C0017638,MANIFESTATION_OF,Neoplasms,Glioma,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0027651,C0032000,MANIFESTATION_OF,Neoplasms,Pituitary Adenoma,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0036220,C0024299,MANIFESTATION_OF,Kaposi Sarcoma,Lymphoma,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C0746408,C0027651,MANIFESTATION_OF,mass lesion,Neoplasms,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C2350019,C4266455,MANIFESTATION_OF,Solitary Pulmonary Nodule,Low grade tumor,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C2939419,C0242379,MANIFESTATION_OF,Secondary Neoplasm,Malignant neoplasm of lung,neop,neop,3,MANIFESTATION_OF_NEOPmanfNEOP
C2939419,C0686377,MANIFESTATION_OF,Secondary Neoplasm,CNS metastases,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
C2939419,C2239176,MANIFESTATION_OF,Secondary Neoplasm,Liver carcinoma,neop,neop,1,MANIFESTATION_OF_NEOPmanfNEOP
