cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0011991,C0024299,MANIFESTATION_OF,Diarrhea,Lymphoma,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0011991,C0027627,MANIFESTATION_OF,Diarrhea,Neoplasm Metastasis,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0013404,C0013930,MANIFESTATION_OF,Dyspnea,"Embolism, Tumor",sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0013404,C0431128,MANIFESTATION_OF,Dyspnea,Papillary craniopharyngioma,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0013428,C0005695,MANIFESTATION_OF,Dysuria,Bladder Neoplasm,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0015970,C0006826,MANIFESTATION_OF,Fever of Unknown Origin,Malignant Neoplasms,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0015970,C0027651,MANIFESTATION_OF,Fever of Unknown Origin,Neoplasms,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0018681,C0027627,MANIFESTATION_OF,Headache,Neoplasm Metastasis,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0037383,C0027651,MANIFESTATION_OF,Sneezing,Neoplasms,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0040460,C0006826,MANIFESTATION_OF,Toothache,Malignant Neoplasms,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0042963,C0206695,MANIFESTATION_OF,Vomiting,"Carcinoma, Neuroendocrine",sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0235031,C0686377,MANIFESTATION_OF,Neurologic Symptoms,CNS metastases,sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
C0751378,C1527390,MANIFESTATION_OF,Neurologic Signs,"Neoplasms, Intracranial",sosy,neop,1,MANIFESTATION_OF_SOSYmanfNEOP
