cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004376,C0035139,METHOD_OF,Automation,Surgical Replantation,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0004376,C0055670,METHOD_OF,Automation,cyclophosphamide/doxorubicin/prednisone/teniposide protocol,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0009609,C0035139,METHOD_OF,Computer simulation,Surgical Replantation,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0009609,C0524865,METHOD_OF,Computer simulation,Reconstructive Surgical Procedures,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0009609,C1515884,METHOD_OF,Computer simulation,Acupuncture and Oriental Medicine,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0014678,C0021925,METHOD_OF,Equipment Failure,Intubation,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0027489,C1511790,METHOD_OF,Natural Language Processing,Detection,mcha,topp,2,METHOD_OF_MCHAmthfTOPP
C0037082,C1511790,METHOD_OF,"Signal Processing, Computer-Assisted",Detection,mcha,topp,2,METHOD_OF_MCHAmthfTOPP
C0039449,C0206058,METHOD_OF,Telecommunications,Elective Surgical Procedures,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0039449,C0439775,METHOD_OF,Telecommunications,Elevation procedure,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0039449,C0474166,METHOD_OF,Telecommunications,Medical counseling,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0039450,C0030231,METHOD_OF,Teleconference,Palliative Care,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0039450,C0920347,METHOD_OF,Teleconference,Procedure on spinal cord (procedure),mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0178706,C0040861,METHOD_OF,Image Processing,Triage,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0178706,C0152060,METHOD_OF,Image Processing,Transection (procedure),mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0178706,C0185115,METHOD_OF,Image Processing,Extraction,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0178706,C0524865,METHOD_OF,Image Processing,Reconstructive Surgical Procedures,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0178706,C1511790,METHOD_OF,Image Processing,Detection,mcha,topp,5,METHOD_OF_MCHAmthfTOPP
C0376284,C0152060,METHOD_OF,Machine Learning,Transection (procedure),mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0376284,C1511790,METHOD_OF,Machine Learning,Detection,mcha,topp,5,METHOD_OF_MCHAmthfTOPP
C0376284,C2936405,METHOD_OF,Machine Learning,Drug Repositioning,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C0870117,C1282573,METHOD_OF,air transportation,Evacuation procedure,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C1328866,C0679698,METHOD_OF,Data Mining,disease prevention,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C1328866,C1171257,METHOD_OF,Data Mining,Delivery care,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C1328866,C1511790,METHOD_OF,Data Mining,Detection,mcha,topp,2,METHOD_OF_MCHAmthfTOPP
C1328866,C2936405,METHOD_OF,Data Mining,Drug Repositioning,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C1516770,C0204901,METHOD_OF,Computer Analysis,Hemodynamic measurements,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C1710578,C0152060,METHOD_OF,Upload,Transection (procedure),mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C1710664,C0152060,METHOD_OF,Web Service,Transection (procedure),mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C2347840,C0030231,METHOD_OF,Commit Operation,Palliative Care,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C2347840,C1293132,METHOD_OF,Commit Operation,Anchoring procedure,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C2347840,C1511790,METHOD_OF,Commit Operation,Detection,mcha,topp,6,METHOD_OF_MCHAmthfTOPP
C2717775,C0185115,METHOD_OF,Molecular Dynamics Simulation,Extraction,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C2717775,C1280903,METHOD_OF,Molecular Dynamics Simulation,Exploration procedure,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C3178909,C0149761,METHOD_OF,short message service,prescription refill,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C4704761,C0040861,METHOD_OF,Deep Learning,Triage,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C4704761,C0185115,METHOD_OF,Deep Learning,Extraction,mcha,topp,2,METHOD_OF_MCHAmthfTOPP
C4704761,C1304879,METHOD_OF,Deep Learning,Electroencephalographic monitoring regime,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C4704761,C1511790,METHOD_OF,Deep Learning,Detection,mcha,topp,21,METHOD_OF_MCHAmthfTOPP
C4704761,C4554488,METHOD_OF,Deep Learning,Retrieval - procedure,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
C5197800,C0545447,METHOD_OF,Blockchain,monitoring temperature,mcha,topp,1,METHOD_OF_MCHAmthfTOPP
