cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000857,C0019664,METHOD_OF,Abstracting,History,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0001554,C0001829,METHOD_OF,Administration occupational activities,Agriculture,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0001554,C0003826,METHOD_OF,Administration occupational activities,Arts,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0001554,C0011298,METHOD_OF,Administration occupational activities,Demography,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0001554,C0039421,METHOD_OF,Administration occupational activities,Technology,ocac,ocdi,2,METHOD_OF_OCACmthfOCDI
C0001554,C1306056,METHOD_OF,Administration occupational activities,Worker,ocac,ocdi,2,METHOD_OF_OCACmthfOCDI
C0009219,C1306056,METHOD_OF,Coding,Worker,ocac,ocdi,2,METHOD_OF_OCACmthfOCDI
C0009431,C0013556,METHOD_OF,Commerce,Economics,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0010171,C0037434,METHOD_OF,Cost Analysis,Social Sciences,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0010992,C0014279,METHOD_OF,Data Analysis,Engineering,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C0001829,METHOD_OF,Industry,Agriculture,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C0003737,METHOD_OF,Industry,Architecture,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C0004430,METHOD_OF,Industry,Aviation,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C0013556,METHOD_OF,Industry,Economics,ocac,ocdi,4,METHOD_OF_OCACmthfOCDI
C0021267,C0019664,METHOD_OF,Industry,History,ocac,ocdi,2,METHOD_OF_OCACmthfOCDI
C0021267,C0036172,METHOD_OF,Industry,Sanitation,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C0039421,METHOD_OF,Industry,Technology,ocac,ocdi,7,METHOD_OF_OCACmthfOCDI
C0021267,C0085081,METHOD_OF,Industry,Forestry,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C0872323,METHOD_OF,Industry,Nanotechnology,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0021267,C1306056,METHOD_OF,Industry,Worker,ocac,ocdi,2,METHOD_OF_OCACmthfOCDI
C0021267,C2699264,METHOD_OF,Industry,Salesperson,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0024826,C2699264,METHOD_OF,Marketing,Salesperson,ocac,ocdi,3,METHOD_OF_OCACmthfOCDI
C0026581,C0013546,METHOD_OF,Mosquito Control,Ecology,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0031249,C0001829,METHOD_OF,Pest Control,Agriculture,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
C0033161,C0014279,METHOD_OF,Printing,Engineering,ocac,ocdi,1,METHOD_OF_OCACmthfOCDI
