cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001898,C0184512,NEG_AFFECTS,alanine,Stabilized (qualifier value),aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0001898,C0743553,NEG_AFFECTS,alanine,epistasis,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0001899,C0150312,NEG_AFFECTS,Alanine Transaminase,Present,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0001924,C0086565,NEG_AFFECTS,Albumins,Liver Dysfunction,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0001924,C0150312,NEG_AFFECTS,Albumins,Present,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0002059,C0086565,NEG_AFFECTS,Alkaline Phosphatase,Liver Dysfunction,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0002199,C0150312,NEG_AFFECTS,Interferon-alpha,Present,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0002520,C0205160,NEG_AFFECTS,Amino Acids,Negative,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003241,C0221198,NEG_AFFECTS,Antibodies,Lesion,aapp,fndg,2,NEG_AFFECTS_AAPPnafctFNDG
C0003241,C1545588,NEG_AFFECTS,Antibodies,Protection,aapp,fndg,7,NEG_AFFECTS_AAPPnafctFNDG
C0003241,C2585744,NEG_AFFECTS,Antibodies,Virus present,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003241,C3816499,NEG_AFFECTS,Antibodies,Pathogenic,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003241,C4289767,NEG_AFFECTS,Antibodies,Colonization,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003242,C0150312,NEG_AFFECTS,"Antibodies, Anti-Idiotypic",Present,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003250,C0262361,NEG_AFFECTS,Monoclonal Antibodies,Growth abnormality,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003250,C0332149,NEG_AFFECTS,Monoclonal Antibodies,Possible,aapp,fndg,2,NEG_AFFECTS_AAPPnafctFNDG
C0003250,C3843708,NEG_AFFECTS,Monoclonal Antibodies,29+,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0003593,C1320980,NEG_AFFECTS,Apolipoproteins B,Blood glucose status,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0008742,C0332149,NEG_AFFECTS,chymotrypsin,Possible,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
C0009316,C0231224,NEG_AFFECTS,colistin,Crisis,aapp,fndg,1,NEG_AFFECTS_AAPPnafctFNDG
