cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001898,C0016315,NEG_AFFECTS,alanine,Fluorescence,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0001898,C2348693,NEG_AFFECTS,alanine,Flux,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0001924,C0012222,NEG_AFFECTS,Albumins,Diffusion,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0003241,C0017982,NEG_AFFECTS,Antibodies,glycosylation,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0003250,C0017982,NEG_AFFECTS,Monoclonal Antibodies,glycosylation,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0003250,C0243052,NEG_AFFECTS,Monoclonal Antibodies,Virus Physiological Phenomena,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0003250,C0376534,NEG_AFFECTS,Monoclonal Antibodies,Electrostatics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0010531,C2717976,NEG_AFFECTS,Cyclic AMP-Dependent Protein Kinases,Virus Budding,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0015980,C0022702,NEG_AFFECTS,interferon-beta,Kinetics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0017890,C2717975,NEG_AFFECTS,glycine,Virus Release,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0021747,C0042730,NEG_AFFECTS,Interferons,Viral Interference,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0023206,C0031764,NEG_AFFECTS,Lectin,Photosynthesis,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0024337,C4759724,NEG_AFFECTS,lysine,Hydrogen Bonds,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0025646,C0020276,NEG_AFFECTS,methionine,Hydrogen Bonding,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0026794,C0022702,NEG_AFFECTS,muramidase,Kinetics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0030940,C0243052,NEG_AFFECTS,Peptide Hydrolases,Virus Physiological Phenomena,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0030940,C0678595,NEG_AFFECTS,Peptide Hydrolases,peptide bond,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0030940,C2717975,NEG_AFFECTS,Peptide Hydrolases,Virus Release,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0033634,C2717976,NEG_AFFECTS,Protein Kinase C,Virus Budding,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0042210,C1948023,NEG_AFFECTS,Vaccines,Stimulation (motivation),aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0044602,C2717976,NEG_AFFECTS,1-Phosphatidylinositol 3-Kinase,Virus Budding,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0079189,C2936626,NEG_AFFECTS,cytokine,Tumor Microenvironment,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0079941,C0042333,NEG_AFFECTS,Open Reading Frames,Variation (Genetics),aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0084692,C0038887,NEG_AFFECTS,Pulmonary Surfactant-Associated Protein D,Surface Tension,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0090388,C2717976,NEG_AFFECTS,14-3-3 Proteins,Virus Budding,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0120465,C0020291,NEG_AFFECTS,Guanine Nucleotide Exchange Factors,Hydrolysis,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0250400,C0031164,NEG_AFFECTS,occludin,Permeability,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0282682,C2936413,NEG_AFFECTS,"Antibodies, Blocking",Host Range,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0282682,C4042908,NEG_AFFECTS,"Antibodies, Blocking",Seroconversion,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0301843,C0022702,NEG_AFFECTS,Cross reacting antibody,Kinetics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0597094,C0243052,NEG_AFFECTS,nuclease,Virus Physiological Phenomena,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0728747,C0376525,NEG_AFFECTS,trastuzumab,Dimerization,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C0920283,C0026597,NEG_AFFECTS,DNA Helicases,Motion,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1412113,C0376525,NEG_AFFECTS,SLC33A1 gene,Dimerization,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1413086,C0022702,NEG_AFFECTS,CALD1 gene,Kinetics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1413357,C0013777,NEG_AFFECTS,CFLAR gene,Electric Conductivity,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1413357,C0031164,NEG_AFFECTS,CFLAR gene,Permeability,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1413503,C3826426,NEG_AFFECTS,CLOCK gene,Dynamics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1417108,C2717975,NEG_AFFECTS,RAB8A gene,Virus Release,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1419379,C1563773,NEG_AFFECTS,RHAG gene,Virus Viability,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1419994,C0022702,NEG_AFFECTS,SRSF3 gene,Kinetics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1425291,C1171318,NEG_AFFECTS,TRPV4 gene,shear stress,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1431519,C0009264,NEG_AFFECTS,"TP63 protein, human",Cold Temperature,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1540061,C2348693,NEG_AFFECTS,TRIM55 gene,Flux,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1705982,C0007382,NEG_AFFECTS,KRAS wt Allele,Catalysis,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1709820,C2348693,NEG_AFFECTS,ROS1 wt Allele,Flux,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1823138,C0017982,NEG_AFFECTS,STT3A gene,glycosylation,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1823139,C0017982,NEG_AFFECTS,STT3B gene,glycosylation,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1823437,C0376525,NEG_AFFECTS,TMEM173 gene,Dimerization,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1825598,C0010423,NEG_AFFECTS,IMPACT gene,Crystallization,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1825598,C0806140,NEG_AFFECTS,IMPACT gene,Flow,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1825598,C2350591,NEG_AFFECTS,IMPACT gene,Typhoons,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1826545,C0016315,NEG_AFFECTS,PATZ1 gene,Fluorescence,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C1883559,C0029391,NEG_AFFECTS,Wild Type,Osmosis,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C3538756,C4042908,NEG_AFFECTS,NLRP1 wt Allele,Seroconversion,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C3540595,C0017982,NEG_AFFECTS,CD8A wt Allele,glycosylation,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C3710914,C0022702,NEG_AFFECTS,"EIF2AK2 protein, human",Kinetics,aapp,npop,2,NEG_AFFECTS_AAPPnafctNPOP
C3711684,C0376534,NEG_AFFECTS,"S protein, severe acute respiratory syndrome coronavirus",Electrostatics,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
C4281807,C0020291,NEG_AFFECTS,"Vitronectin, human",Hydrolysis,aapp,npop,1,NEG_AFFECTS_AAPPnafctNPOP
