cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0020964,NEG_AFFECTS,Antibodies,Immunity,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0003241,C4277517,NEG_AFFECTS,Antibodies,Host Tropism,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0005740,C0149784,NEG_AFFECTS,bleomycin,biological adaptation to stress,aapp,phsf,2,NEG_AFFECTS_AAPPnafctPHSF
C0009316,C1514892,NEG_AFFECTS,colistin,Resistance Process,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0015296,C1514892,NEG_AFFECTS,Exonuclease,Resistance Process,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0017953,C1514892,NEG_AFFECTS,Glycopeptides,Resistance Process,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0021740,C0020964,NEG_AFFECTS,Recombinant Interferon-gamma,Immunity,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0027803,C1514892,NEG_AFFECTS,Neuraminidase,Resistance Process,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0030940,C0243144,NEG_AFFECTS,Peptide Hydrolases,Uptake,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0030940,C1514892,NEG_AFFECTS,Peptide Hydrolases,Resistance Process,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0034801,C0035203,NEG_AFFECTS,Opioid Receptor,Respiration,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0034804,C0149784,NEG_AFFECTS,Estrogen Receptors,biological adaptation to stress,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0041485,C1514892,NEG_AFFECTS,tyrosine,Resistance Process,aapp,phsf,2,NEG_AFFECTS_AAPPnafctPHSF
C0042210,C0020964,NEG_AFFECTS,Vaccines,Immunity,aapp,phsf,2,NEG_AFFECTS_AAPPnafctPHSF
C0042720,C0243144,NEG_AFFECTS,Viral Genome,Uptake,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0052350,C0243144,NEG_AFFECTS,arginyl-glycyl-aspartic acid,Uptake,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0056248,C0026820,NEG_AFFECTS,connectin,Muscle Contraction,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0065827,C0020964,NEG_AFFECTS,Measles Virus Nucleoprotein,Immunity,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0076570,C0020964,NEG_AFFECTS,Thy-1 Antigens,Immunity,aapp,phsf,2,NEG_AFFECTS_AAPPnafctPHSF
C0082731,C1512827,NEG_AFFECTS,Glycine dehydrogenase (decarboxylating),Interferon Signaling Process,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0085297,C0020964,NEG_AFFECTS,"immunoglobulins, intravenous",Immunity,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0162768,C0242732,NEG_AFFECTS,Fusion protein,Tropism,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0166418,C1326961,NEG_AFFECTS,Peroxisome Proliferator-Activated Receptors,glucose homeostasis,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0214743,C0035245,NEG_AFFECTS,Interleukin-13,Respiratory physiology,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0282554,C0035203,NEG_AFFECTS,chemokine,Respiration,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
C0348035,C0243144,NEG_AFFECTS,oxidized low density lipoprotein,Uptake,aapp,phsf,1,NEG_AFFECTS_AAPPnafctPHSF
