cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0013216,C0162493,NEG_AFFECTS,Pharmacotherapy,Transcriptional Activation,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0013216,C0599773,NEG_AFFECTS,Pharmacotherapy,Homologous Recombination,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0017296,C0678952,NEG_AFFECTS,gene therapy,Selective Breeding,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0017296,C1136031,NEG_AFFECTS,gene therapy,RNA Interference,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0035139,C1152370,NEG_AFFECTS,Surgical Replantation,DNA nucleotidylexotransferase activity,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0040808,C2613185,NEG_AFFECTS,Treatment Protocols,miRNA biogenesis,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0280274,C0026882,NEG_AFFECTS,Antiviral Therapy,Mutation,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0887947,C1515670,NEG_AFFECTS,"Antiretroviral Therapy, Highly Active",mRNA Expression,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C0920425,C0012899,NEG_AFFECTS,Cancer Therapeutic Procedure,DNA Repair,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
C1963724,C0026882,NEG_AFFECTS,Antiretroviral therapy,Mutation,topp,genf,1,NEG_AFFECTS_TOPPnafctGENF
