cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002638,C0742135,NEG_ASSOCIATED_WITH,Amniotic Fluid,Cervical Change,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0005767,C0150312,NEG_ASSOCIATED_WITH,Blood,Present,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0005767,C3843087,NEG_ASSOCIATED_WITH,Blood,One thing,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0005767,C4699158,NEG_ASSOCIATED_WITH,Blood,Increased risk,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0007806,C3843256,NEG_ASSOCIATED_WITH,Cerebrospinal Fluid,Line 11,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0009413,C0425943,NEG_ASSOCIATED_WITH,Colostrum,Duration of menstrual flow,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0015733,C0150312,NEG_ASSOCIATED_WITH,Feces,Present,bdsu,fndg,2,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0015733,C0517627,NEG_ASSOCIATED_WITH,Feces,Infection status,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0015733,C3540840,NEG_ASSOCIATED_WITH,Feces,Sign or Symptom,bdsu,fndg,2,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0026131,C4699158,NEG_ASSOCIATED_WITH,Milk (body substance),Increased risk,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0026727,C0150312,NEG_ASSOCIATED_WITH,Mucous body substance,Present,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0038056,C3540840,NEG_ASSOCIATED_WITH,Sputum,Sign or Symptom,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0042036,C0438142,NEG_ASSOCIATED_WITH,Urine,Urine screening abnormal,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0229671,C0150312,NEG_ASSOCIATED_WITH,Serum,Present,bdsu,fndg,5,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0229671,C0750479,NEG_ASSOCIATED_WITH,Serum,blank,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0229671,C1545588,NEG_ASSOCIATED_WITH,Serum,Protection,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0229671,C1832073,NEG_ASSOCIATED_WITH,Serum,Handling,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0444159,C4699158,NEG_ASSOCIATED_WITH,Sputum specimen,Increased risk,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0444176,C0150312,NEG_ASSOCIATED_WITH,Seminal fluid specimen,Present,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0444279,C0332149,NEG_ASSOCIATED_WITH,Respiratory sample,Possible,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0444279,C0700292,NEG_ASSOCIATED_WITH,Respiratory sample,Hypoxemia,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C0444279,C1709157,NEG_ASSOCIATED_WITH,Respiratory sample,Negative Surgical Margin,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C1272568,C0035648,NEG_ASSOCIATED_WITH,Oral secretion,risk factors,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C1272568,C3540840,NEG_ASSOCIATED_WITH,Oral secretion,Sign or Symptom,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C1550101,C0150312,NEG_ASSOCIATED_WITH,Supernatant,Present,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C3179346,C4086268,NEG_ASSOCIATED_WITH,"Sputum, Induced",Exacerbation,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
C3494786,C1709157,NEG_ASSOCIATED_WITH,Convalescent phase serum specimen,Negative Surgical Margin,bdsu,fndg,1,NEG_ASSOCIATED_WITH_BDSUnaswtFNDG
