cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010590,C0678723,NEG_AUGMENTS,cycloserine,Biologic Development,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0014372,C0018270,NEG_AUGMENTS,Enterotoxins,Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0030095,C0013470,NEG_AUGMENTS,oxytocin,Eating,aapp,orgf,3,NEG_AUGMENTS_AAPPnaugmORGF
C0041236,C0018270,NEG_AUGMENTS,trypsin,Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0042210,C0020966,NEG_AUGMENTS,Vaccines,Cellular Immunity,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0072249,C1516559,NEG_AUGMENTS,Prorenin,Circulatory Process,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0079189,C1819437,NEG_AUGMENTS,cytokine,interleukin-10 production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0079459,C1819459,NEG_AUGMENTS,Granulocyte Colony-Stimulating Factor,interleukin-6 production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0162768,C0018270,NEG_AUGMENTS,Fusion protein,Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0282554,C1819426,NEG_AUGMENTS,chemokine,chemokine production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0596902,C0018270,NEG_AUGMENTS,Membrane Transport Proteins,Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0597357,C1819437,NEG_AUGMENTS,receptor,interleukin-10 production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0599561,C1819461,NEG_AUGMENTS,e protein,interleukin-8 production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C0913092,C1327413,NEG_AUGMENTS,DC-specific ICAM-3 grabbing nonintegrin,cytokine production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1415892,C1819431,NEG_AUGMENTS,IFIT1 gene,interferon-alpha production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1416478,C0699900,NEG_AUGMENTS,ISG20 gene,Catabolism,aapp,orgf,3,NEG_AUGMENTS_AAPPnaugmORGF
C1422064,C0005823,NEG_AUGMENTS,ACE2 gene,Blood Pressure,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1425473,C0018270,NEG_AUGMENTS,IFNL1 gene,Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1540220,C0699900,NEG_AUGMENTS,ERLEC1 gene,Catabolism,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1540289,C1819430,NEG_AUGMENTS,CD200 gene,type I interferon production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1825598,C0026649,NEG_AUGMENTS,IMPACT gene,Movement,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1825621,C1155328,NEG_AUGMENTS,ISG15 gene,Antiviral Response,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C1864770,C1155328,NEG_AUGMENTS,MAVS gene,Antiviral Response,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C2741644,C0683154,NEG_AUGMENTS,CNTO 1275,drug response,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C2744535,C0018270,NEG_AUGMENTS,"CD69 protein, human",Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C2985160,C0018270,NEG_AUGMENTS,ARID1A wt Allele,Growth,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C3813583,C0005823,NEG_AUGMENTS,PTGES wt Allele,Blood Pressure,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
C4281807,C1819461,NEG_AUGMENTS,"Vitronectin, human",interleukin-8 production,aapp,orgf,1,NEG_AUGMENTS_AAPPnaugmORGF
