cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0003272,NEG_CAUSES,Antibodies,Antibody-Dependent Cellular Cytotoxicity,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C0003241,C0032176,NEG_CAUSES,Antibodies,Platelet aggregation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0003242,C1155229,NEG_CAUSES,"Antibodies, Anti-Idiotypic",Humoral immune response,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0003250,C0037083,NEG_CAUSES,Monoclonal Antibodies,Signal Transduction,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0003250,C0162638,NEG_CAUSES,Monoclonal Antibodies,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0010590,C0004391,NEG_CAUSES,cycloserine,Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0010590,C0024262,NEG_CAUSES,cycloserine,Lymphocyte Activation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0010590,C0162638,NEG_CAUSES,cycloserine,Apoptosis,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C0010654,C1156309,NEG_CAUSES,cysteine,syncytium formation by plasma membrane fusion,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0017237,C0178666,NEG_CAUSES,gelatin,glucose transport,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0017278,C2613145,NEG_CAUSES,"Gene Products, env",response to endoplasmic reticulum stress,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0019652,C0007587,NEG_CAUSES,Histones,Cell Death,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C0021031,C0032176,NEG_CAUSES,Fab Immunoglobulins,Platelet aggregation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0021665,C0026255,NEG_CAUSES,Insulin-Like Growth Factor I,Mitosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0021755,C0024426,NEG_CAUSES,Interleukin-1,Macrophage Activation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0022917,C0019595,NEG_CAUSES,Lactate Dehydrogenase,Histamine Release,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0030940,C0010813,NEG_CAUSES,Peptide Hydrolases,Cytokinesis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0032143,C2754100,NEG_CAUSES,alteplase,neuron death,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0032200,C0026255,NEG_CAUSES,Platelet-Derived Growth Factor,Mitosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0033382,C0007587,NEG_CAUSES,proline,Cell Death,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0033382,C0010813,NEG_CAUSES,proline,Cytokinesis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0034348,C0162638,NEG_CAUSES,Pyruvate Kinase,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0036774,C0178666,NEG_CAUSES,"serum albumin, bovine",glucose transport,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0040691,C0162638,NEG_CAUSES,Transforming Growth Factors,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0042736,C4326906,NEG_CAUSES,Viral Proteins,membrane curvature,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0051978,C0019595,NEG_CAUSES,Anti-Immunoglobulin E antibody,Histamine Release,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0052350,C0162638,NEG_CAUSES,arginyl-glycyl-aspartic acid,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0059386,C0007595,NEG_CAUSES,"enterotoxin B, staphylococcal",Cell Growth,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0059386,C1155046,NEG_CAUSES,"enterotoxin B, staphylococcal",T-Cell Proliferation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0065684,C0037083,NEG_CAUSES,mannose receptor,Signal Transduction,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0065827,C0162638,NEG_CAUSES,Measles Virus Nucleoprotein,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0071795,C0162638,NEG_CAUSES,2-5A-dependent ribonuclease,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0079189,C0162638,NEG_CAUSES,cytokine,Apoptosis,aapp,celf,3,NEG_CAUSES_AAPPncausCELF
C0079419,C0162638,NEG_CAUSES,TP53 gene,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0079633,C0008018,NEG_CAUSES,interleukin-8,Chemotaxis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0079785,C0085416,NEG_CAUSES,Macrophage-1 Antigen,Respiratory Burst,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0120285,C0007587,NEG_CAUSES,Green Fluorescent Proteins,Cell Death,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0120285,C0162638,NEG_CAUSES,Green Fluorescent Proteins,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0120285,C1156309,NEG_CAUSES,Green Fluorescent Proteins,syncytium formation by plasma membrane fusion,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0123759,C1327414,NEG_CAUSES,interleukin-12,cytokine secretion,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0148340,C0162638,NEG_CAUSES,Vesicle-Associated Membrane Protein 2,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0164786,C0162638,NEG_CAUSES,Proto-Oncogene Proteins c-akt,Apoptosis,aapp,celf,4,NEG_CAUSES_AAPPncausCELF
C0164786,C0596290,NEG_CAUSES,Proto-Oncogene Proteins c-akt,Cell Proliferation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0170521,C0004391,NEG_CAUSES,"DDIT3 protein, human",Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0170521,C0162638,NEG_CAUSES,"DDIT3 protein, human",Apoptosis,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C0216680,C0162638,NEG_CAUSES,"Receptor, TIE-2",Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0243037,C0007586,NEG_CAUSES,"Genes, cdc",Cell Cycle,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0244989,C0162638,NEG_CAUSES,Glycogen Synthase Kinase 3,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0250501,C0004391,NEG_CAUSES,CXCR4 Receptors,Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0282554,C1622501,NEG_CAUSES,chemokine,"Migration, Cell",aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0287990,C0010813,NEG_CAUSES,paired basic amino acid cleaving enzyme,Cytokinesis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0312586,C0042774,NEG_CAUSES,Polyclonal antibody,Virus Replication,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0383327,C0007587,NEG_CAUSES,Interleukin-18,Cell Death,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0582263,C0004391,NEG_CAUSES,Structural protein,Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0582263,C0162638,NEG_CAUSES,Structural protein,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0597357,C0162638,NEG_CAUSES,receptor,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0599561,C0162638,NEG_CAUSES,e protein,Apoptosis,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C0669885,C0019595,NEG_CAUSES,seryl-leucyl-isoleucyl--glycyl-lysyl-valine,Histamine Release,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0700271,C1159455,NEG_CAUSES,"M Protein, multiple myeloma",syncytium formation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0755031,C0162638,NEG_CAUSES,"MAGI1 protein, human",Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C0966870,C1159455,NEG_CAUSES,S100 calcium binding protein A10,syncytium formation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1136102,C0162638,NEG_CAUSES,Capsid Proteins,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1175290,C0007587,NEG_CAUSES,"AGR3 protein, human",Cell Death,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1256801,C0596233,NEG_CAUSES,"FPR1 protein, human",release of sequestered calcium ion into cytoplasm,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1305923,C1155342,NEG_CAUSES,Polypeptides,cellular response to unfolded protein,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C1307407,C0004391,NEG_CAUSES,"FRAP1 protein, human",Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1309025,C0010813,NEG_CAUSES,"SH2D3A protein, human",Cytokinesis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1310463,C0162638,NEG_CAUSES,"IFIH1 protein, human",Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1310468,C0162638,NEG_CAUSES,"DDX58 protein, human",Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1332700,C1159455,NEG_CAUSES,CCR5 gene,syncytium formation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1332816,C0008018,NEG_CAUSES,CXCL11 gene,Chemotaxis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1333682,C0007620,NEG_CAUSES,NOP53 gene,Cell Survival,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1334139,C0007620,NEG_CAUSES,IRF3 gene,Cell Survival,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1335376,C1155065,NEG_CAUSES,Peptide/MHC Complex,T-Cell Activation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1336763,C2613145,NEG_CAUSES,Toll-Like Receptor Family Gene,response to endoplasmic reticulum stress,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1366462,C1155342,NEG_CAUSES,KAT2B gene,cellular response to unfolded protein,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1412617,C0162638,NEG_CAUSES,ATF4 gene,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1412940,C0162638,NEG_CAUSES,FAM3B gene,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1413814,C0007587,NEG_CAUSES,CTSG gene,Cell Death,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1413974,C0008018,NEG_CAUSES,DEFA3 gene,Chemotaxis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1414406,C1159455,NEG_CAUSES,ENPEP gene,syncytium formation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1415273,C0162638,NEG_CAUSES,TECR gene,Apoptosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1417005,C0004391,NEG_CAUSES,MAP1LC3A gene,Autophagy,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C1417196,C0007620,NEG_CAUSES,MLYCD gene,Cell Survival,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1417530,C0004391,NEG_CAUSES,MYD88 gene,Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1417530,C1155064,NEG_CAUSES,MYD88 gene,NK Cell Activation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1418655,C0004391,NEG_CAUSES,PLP2 gene,Autophagy,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1418793,C3178824,NEG_CAUSES,PPIA gene,G2 Cell Cycle Arrest,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1419219,C2611772,NEG_CAUSES,RAB9A gene,autophagosome assembly,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1420002,C1372517,NEG_CAUSES,SFTPA1 gene,Increased Phagocytosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1421554,C0042774,NEG_CAUSES,YME1L1 gene,Virus Replication,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1422036,C1159455,NEG_CAUSES,ERVW-1 gene,syncytium formation,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1422055,C0007587,NEG_CAUSES,POLE3 gene,Cell Death,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C1422055,C0162638,NEG_CAUSES,POLE3 gene,Apoptosis,aapp,celf,2,NEG_CAUSES_AAPPncausCELF
C1423842,C1327414,NEG_CAUSES,NELFCD gene,cytokine secretion,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1424826,C0031308,NEG_CAUSES,COLEC11 gene,Phagocytosis,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
C1424979,C1156309,NEG_CAUSES,GPR132 gene,syncytium formation by plasma membrane fusion,aapp,celf,1,NEG_CAUSES_AAPPncausCELF
