cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0239984,NEG_CAUSES,Immunologic Adjuvants,Increased circulating IgA level,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0001551,C1545588,NEG_CAUSES,Immunologic Adjuvants,Protection,imft,fndg,2,NEG_CAUSES_IMFTncausFNDG
C0001551,C4321237,NEG_CAUSES,Immunologic Adjuvants,High Level,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0003316,C4321237,NEG_CAUSES,Epitopes,High Level,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0003320,C0205557,NEG_CAUSES,Antigens,False Positive,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0003320,C1545588,NEG_CAUSES,Antigens,Protection,imft,fndg,4,NEG_CAUSES_IMFTncausFNDG
C0003342,C4329354,NEG_CAUSES,"Antigens, Viral",Apoptosis and Necrosis,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0004632,C1545588,NEG_CAUSES,Bacterial Vaccines,Protection,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0016712,C1334016,NEG_CAUSES,Freund's Adjuvant,High Grade Lesion,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0021403,C3687252,NEG_CAUSES,Influenza virus vaccine,Eosinophilic inflammation,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0025010,C1545588,NEG_CAUSES,Measles Vaccine,Protection,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0042211,C1545588,NEG_CAUSES,"Vaccines, Attenuated",Protection,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0042211,C4321237,NEG_CAUSES,"Vaccines, Attenuated",High Level,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0042212,C1545588,NEG_CAUSES,"Vaccines, Inactivated",Protection,imft,fndg,2,NEG_CAUSES_IMFTncausFNDG
C0042212,C3540840,NEG_CAUSES,"Vaccines, Inactivated",Sign or Symptom,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0042212,C4086268,NEG_CAUSES,"Vaccines, Inactivated",Exacerbation,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0042742,C0221198,NEG_CAUSES,Viral Vaccines,Lesion,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0521390,C5203340,NEG_CAUSES,neuronal,Lethality,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0599934,C0152030,NEG_CAUSES,"Vaccines, Peptide",Skin irritation,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0887892,C1545588,NEG_CAUSES,"Vaccines, Subunit",Protection,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
C0887892,C4321237,NEG_CAUSES,"Vaccines, Subunit",High Level,imft,fndg,1,NEG_CAUSES_IMFTncausFNDG
