cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002978,C0340643,NEG_DIAGNOSES,angiogram,Dissection of aorta,diap,dsyn,2,NEG_DIAGNOSES_DIAPndiagDSYN
C0002978,C0524702,NEG_DIAGNOSES,angiogram,Pulmonary Thromboembolisms,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0004398,C0009450,NEG_DIAGNOSES,Autopsy,Communicable Diseases,diap,dsyn,2,NEG_DIAGNOSES_DIAPndiagDSYN
C0004398,C0010340,NEG_DIAGNOSES,Autopsy,Critical Illness,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0004398,C0021400,NEG_DIAGNOSES,Autopsy,Influenza,diap,dsyn,2,NEG_DIAGNOSES_DIAPndiagDSYN
C0004398,C0021828,NEG_DIAGNOSES,Autopsy,Intestinal Atresia,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0004398,C0042769,NEG_DIAGNOSES,Autopsy,Virus Diseases,diap,dsyn,2,NEG_DIAGNOSES_DIAPndiagDSYN
C0004398,C1096155,NEG_DIAGNOSES,Autopsy,Macrophage Activation Syndrome,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0007570,NEG_DIAGNOSES,Biopsy,Celiac Disease,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0017668,NEG_DIAGNOSES,Biopsy,Focal glomerulosclerosis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0034068,NEG_DIAGNOSES,Biopsy,Pulmonary Eosinophilia,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0035222,NEG_DIAGNOSES,Biopsy,"Respiratory Distress Syndrome, Adult",diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0036310,NEG_DIAGNOSES,Biopsy,Scheuermann's Disease,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0042769,NEG_DIAGNOSES,Biopsy,Virus Diseases,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0238294,NEG_DIAGNOSES,Biopsy,"MYOCARDITIS, ACTIVE",diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0239946,NEG_DIAGNOSES,Biopsy,"Fibrosis, Liver",diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0265514,NEG_DIAGNOSES,Biopsy,Dermatofibrosis lenticularis disseminata,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0393639,NEG_DIAGNOSES,Biopsy,Hashimoto's encephalitis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0600327,NEG_DIAGNOSES,Biopsy,Toxic Shock Syndrome,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C0740766,NEG_DIAGNOSES,Biopsy,Acute Pneumonia,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C1175175,NEG_DIAGNOSES,Biopsy,Severe Acute Respiratory Syndrome,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0005558,C1623038,NEG_DIAGNOSES,Biopsy,Cirrhosis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0006290,C1175175,NEG_DIAGNOSES,Bronchoscopy,Severe Acute Respiratory Syndrome,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0011906,C5203670,NEG_DIAGNOSES,Differential Diagnosis,COVID-19,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0011923,C5203670,NEG_DIAGNOSES,Diagnostic Imaging,COVID-19,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0011930,C0010418,NEG_DIAGNOSES,"Diagnostic Tests, Routine",Cryptosporidiosis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0013516,C0035613,NEG_DIAGNOSES,Echocardiography,Rift Valley Fever,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0013516,C0149871,NEG_DIAGNOSES,Echocardiography,Deep Vein Thrombosis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0013516,C0578491,NEG_DIAGNOSES,Echocardiography,Infection by site,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0013798,C0027059,NEG_DIAGNOSES,Electrocardiogram,Myocarditis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0013798,C0948089,NEG_DIAGNOSES,Electrocardiogram,Acute Coronary Syndrome,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0015260,C0004096,NEG_DIAGNOSES,Exercise stress test,Asthma,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0018795,C0010054,NEG_DIAGNOSES,Cardiac Catheterization Procedures,Coronary Arteriosclerosis,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
C0021044,C0009443,NEG_DIAGNOSES,Immunohistochemistry,Common Cold,diap,dsyn,1,NEG_DIAGNOSES_DIAPndiagDSYN
