cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005800,C0001127,NEG_DIAGNOSES,Blood Gas Analysis,"Acidosis, Respiratory",lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0005833,C2930862,NEG_DIAGNOSES,Blood Sedimentation,Primary angiitis of the central nervous system,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0003962,NEG_DIAGNOSES,Cell Count,Ascites,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0011847,NEG_DIAGNOSES,Cell Count,Diabetes,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0019196,NEG_DIAGNOSES,Cell Count,Hepatitis C,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0023374,NEG_DIAGNOSES,Cell Count,Lesch-Nyhan Syndrome,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0029408,NEG_DIAGNOSES,Cell Count,Degenerative polyarthritis,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0030524,NEG_DIAGNOSES,Cell Count,Paratuberculosis,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0035235,NEG_DIAGNOSES,Cell Count,Respiratory Syncytial Virus Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0042769,NEG_DIAGNOSES,Cell Count,Virus Diseases,lbpr,dsyn,2,NEG_DIAGNOSES_LBPRndiagDSYN
C0007584,C0206750,NEG_DIAGNOSES,Cell Count,Coronavirus Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0007585,C0019159,NEG_DIAGNOSES,Cell Culture Techniques,Hepatitis A,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0009555,C0032227,NEG_DIAGNOSES,Complete Blood Count,Pleural effusion disorder,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0010214,C0032285,NEG_DIAGNOSES,Countercurrent electrophoresis measurement,Pneumonia,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014441,C0019196,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Hepatitis C,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014441,C0019693,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,HIV Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014441,C0036310,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Scheuermann's Disease,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014441,C0275524,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Coinfection,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014441,C0872054,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Latent Infection,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014772,C0206750,NEG_DIAGNOSES,Red Blood Cell Count measurement,Coronavirus Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0014772,C2930826,NEG_DIAGNOSES,Red Blood Cell Count measurement,Acute malaria,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0016318,C0275524,NEG_DIAGNOSES,Fluorescent Antibody Technique,Coinfection,lbpr,dsyn,2,NEG_DIAGNOSES_LBPRndiagDSYN
C0018941,C0020514,NEG_DIAGNOSES,Hematologic Tests,Hyperprolactinemia,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0018941,C5203670,NEG_DIAGNOSES,Hematologic Tests,COVID-19,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0019637,C0005779,NEG_DIAGNOSES,Histological Techniques,Blood Coagulation Disorders,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0020985,C0010823,NEG_DIAGNOSES,Immunoblotting,Cytomegalovirus Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0020985,C0220666,NEG_DIAGNOSES,Immunoblotting,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA",lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0020997,C0086438,NEG_DIAGNOSES,immunoelectrophoresis,Hypogammaglobulinemia,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0004096,NEG_DIAGNOSES,Laboratory Procedures,Asthma,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0004238,NEG_DIAGNOSES,Laboratory Procedures,Atrial Fibrillation,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0004364,NEG_DIAGNOSES,Laboratory Procedures,Autoimmune Diseases,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0004771,NEG_DIAGNOSES,Laboratory Procedures,Bartonella Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0005779,NEG_DIAGNOSES,Laboratory Procedures,Blood Coagulation Disorders,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0009450,NEG_DIAGNOSES,Laboratory Procedures,Communicable Diseases,lbpr,dsyn,2,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0010380,NEG_DIAGNOSES,Laboratory Procedures,Croup,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0010403,NEG_DIAGNOSES,Laboratory Procedures,Cryoglobulinemia,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0012739,NEG_DIAGNOSES,Laboratory Procedures,Disseminated Intravascular Coagulation,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0014335,NEG_DIAGNOSES,Laboratory Procedures,Enteritis,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0016397,NEG_DIAGNOSES,Laboratory Procedures,Focal Infection,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0019196,NEG_DIAGNOSES,Laboratory Procedures,Hepatitis C,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0019372,NEG_DIAGNOSES,Laboratory Procedures,Herpesviridae Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0019693,NEG_DIAGNOSES,Laboratory Procedures,HIV Infections,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0021400,NEG_DIAGNOSES,Laboratory Procedures,Influenza,lbpr,dsyn,5,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0026691,NEG_DIAGNOSES,Laboratory Procedures,Mucocutaneous Lymph Node Syndrome,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0029443,NEG_DIAGNOSES,Laboratory Procedures,Osteomyelitis,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0030499,NEG_DIAGNOSES,Laboratory Procedures,Parasitic Diseases,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0032285,NEG_DIAGNOSES,Laboratory Procedures,Pneumonia,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0035613,NEG_DIAGNOSES,Laboratory Procedures,Rift Valley Fever,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0036690,NEG_DIAGNOSES,Laboratory Procedures,Septicemia,lbpr,dsyn,2,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0042769,NEG_DIAGNOSES,Laboratory Procedures,Virus Diseases,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0043541,NEG_DIAGNOSES,Laboratory Procedures,Zygomycosis,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
C0022885,C0149514,NEG_DIAGNOSES,Laboratory Procedures,Acute bronchitis,lbpr,dsyn,1,NEG_DIAGNOSES_LBPRndiagDSYN
