cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005863,C3714514,NEG_DIAGNOSES,Western Blotting,Infection,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0007584,C0001511,NEG_DIAGNOSES,Cell Count,Tissue Adhesions,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0007584,C0015376,NEG_DIAGNOSES,Cell Count,Extravasation,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0007584,C0028778,NEG_DIAGNOSES,Cell Count,Obstruction,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0007584,C1155266,NEG_DIAGNOSES,Cell Count,Inflammatory Response,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0007584,C1373218,NEG_DIAGNOSES,Cell Count,Decreased Immunologic Activity [PE],lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0007584,C3714514,NEG_DIAGNOSES,Cell Count,Infection,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0010818,C0021368,NEG_DIAGNOSES,Cytological Techniques,Inflammation,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0014441,C0020517,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Hypersensitivity,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0014441,C0162633,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Viral Shedding,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0014441,C3714514,NEG_DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Infection,lbpr,patf,2,NEG_DIAGNOSES_LBPRndiagPATF
C0020980,C0020517,NEG_DIAGNOSES,Immunoassay method,Hypersensitivity,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0022885,C0013687,NEG_DIAGNOSES,Laboratory Procedures,effusion,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0022885,C0016470,NEG_DIAGNOSES,Laboratory Procedures,Food Allergy,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0022885,C0019080,NEG_DIAGNOSES,Laboratory Procedures,Hemorrhage,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0022885,C0020517,NEG_DIAGNOSES,Laboratory Procedures,Hypersensitivity,lbpr,patf,3,NEG_DIAGNOSES_LBPRndiagPATF
C0022885,C0162633,NEG_DIAGNOSES,Laboratory Procedures,Viral Shedding,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0022885,C3714514,NEG_DIAGNOSES,Laboratory Procedures,Infection,lbpr,patf,3,NEG_DIAGNOSES_LBPRndiagPATF
C0023508,C3714514,NEG_DIAGNOSES,White Blood Cell Count procedure,Infection,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0026018,C0038862,NEG_DIAGNOSES,Microscopy,Suppurative inflammation,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0032102,C0020517,NEG_DIAGNOSES,plaque assay,Hypersensitivity,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0036743,C3714514,NEG_DIAGNOSES,Serologic tests,Infection,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0079104,C0334044,NEG_DIAGNOSES,Pap smear,Dysplasia,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0086231,C0162633,NEG_DIAGNOSES,Enzyme Immunoassay,Viral Shedding,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0200955,C0162633,NEG_DIAGNOSES,Viral culture procedure,Viral Shedding,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0200955,C1520005,NEG_DIAGNOSES,Viral culture procedure,Viral Pathogenesis,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0200969,C1155266,NEG_DIAGNOSES,Fungus stain method,Inflammatory Response,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0430420,C3714514,NEG_DIAGNOSES,Antigen assay,Infection,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0430425,C0020517,NEG_DIAGNOSES,Procedure to identify antibody,Hypersensitivity,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0430425,C3714514,NEG_DIAGNOSES,Procedure to identify antibody,Infection,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
C0525032,C0019080,NEG_DIAGNOSES,International Normalized Ratio,Hemorrhage,lbpr,patf,1,NEG_DIAGNOSES_LBPRndiagPATF
