cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002403,C1708063,NEG_HIGHER_THAN,amantadine,First line treatment,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0002556,C4763675,NEG_HIGHER_THAN,Aminoglycosides,Single Agent Therapy,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0007935,C0032042,NEG_HIGHER_THAN,Chalcone,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0011777,C0032042,NEG_HIGHER_THAN,dexamethasone,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0018305,C0032042,NEG_HIGHER_THAN,guaifenesin,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0018320,C0032042,NEG_HIGHER_THAN,Guanidines,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0020336,C0032042,NEG_HIGHER_THAN,hydroxychloroquine,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0027358,C0035273,NEG_HIGHER_THAN,naloxone,Resuscitation procedure,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0035629,C0032042,NEG_HIGHER_THAN,rimantadine,Placebos,orch,topp,2,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0040610,C0032042,NEG_HIGHER_THAN,tramadol,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0042878,C0032042,NEG_HIGHER_THAN,vitamin K,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0059396,C0032042,NEG_HIGHER_THAN,enviroxime,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0086073,C0032042,NEG_HIGHER_THAN,cromolyn,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0168213,C0032042,NEG_HIGHER_THAN,pirodavir,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0242525,C0032042,NEG_HIGHER_THAN,triprolidine hydrochloride,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0257343,C0032042,NEG_HIGHER_THAN,tamsulosin,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
C0298130,C0032042,NEG_HIGHER_THAN,montelukast,Placebos,orch,topp,1,NEG_HIGHER_THAN_ORCHnhghtTOPP
