cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001407,C0028630,NEG_INTERACTS_WITH,adenine,Nucleotides,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0010843,C0012935,NEG_INTERACTS_WITH,cytosine,"DNA, Single-Stranded",bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0012929,C0006556,NEG_INTERACTS_WITH,"DNA, Mitochondrial","DNA, Complementary",bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0012929,C1579410,NEG_INTERACTS_WITH,"DNA, Mitochondrial",Nucleoside Analogs,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0013982,C0035736,NEG_INTERACTS_WITH,Emodin,"RNA, Viral",bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0018340,C0018353,NEG_INTERACTS_WITH,Guanosine Diphosphate,Guanosine Triphosphate,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0035142,C0035736,NEG_INTERACTS_WITH,Replicon,"RNA, Viral",bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0035693,C0035736,NEG_INTERACTS_WITH,"RNA, Double-Stranded","RNA, Viral",bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0035693,C3272452,NEG_INTERACTS_WITH,"RNA, Double-Stranded",Single-Stranded RNA,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0035696,C0045143,NEG_INTERACTS_WITH,"RNA, Messenger","2',5'-oligoadenylate",bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C0035711,C1519595,NEG_INTERACTS_WITH,Transfer RNA,Transcript,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C1099354,C0028953,NEG_INTERACTS_WITH,"RNA, Small Interfering",Oligonucleotides,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C1099354,C0600680,NEG_INTERACTS_WITH,"RNA, Small Interfering",Untranslated Regions,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C1099354,C1519595,NEG_INTERACTS_WITH,"RNA, Small Interfering",Transcript,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
C2936590,C0016388,NEG_INTERACTS_WITH,Riboswitch,riboflavin 5'-phosphate,bacs,nnon,1,NEG_INTERACTS_WITH_BACSnitawNNON
