cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001699,C0913092,NEG_INTERACTS_WITH,Klebsiella pneumoniae,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0004611,C0003241,NEG_INTERACTS_WITH,Bacteria,Antibodies,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0004611,C0020960,NEG_INTERACTS_WITH,Bacteria,Immune Sera,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0004611,C0913092,NEG_INTERACTS_WITH,Bacteria,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0006132,C0376900,NEG_INTERACTS_WITH,Moraxella catarrhalis,"Carcinoembryonic Antigen-Related Cell Adhesion Molecule 6, human",bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0014834,C0913092,NEG_INTERACTS_WITH,Escherichia coli,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0014834,C1709820,NEG_INTERACTS_WITH,Escherichia coli,ROS1 wt Allele,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0026912,C0913092,NEG_INTERACTS_WITH,Genus Mycobacterium,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0033809,C0526870,NEG_INTERACTS_WITH,Pseudomonas aeruginosa,"MBL2 protein, human",bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0033809,C0753253,NEG_INTERACTS_WITH,Pseudomonas aeruginosa,"SDC1 protein, human",bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0033809,C0913092,NEG_INTERACTS_WITH,Pseudomonas aeruginosa,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0036111,C0003250,NEG_INTERACTS_WITH,Salmonella,Monoclonal Antibodies,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0038172,C0913092,NEG_INTERACTS_WITH,Staphylococcus aureus,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0038410,C0021760,NEG_INTERACTS_WITH,Streptococcus pneumoniae,interleukin-6,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C0038410,C0079633,NEG_INTERACTS_WITH,Streptococcus pneumoniae,interleukin-8,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
C1265175,C1420016,NEG_INTERACTS_WITH,Vancomycin-Resistant Enterococci,SGTA gene,bact,aapp,1,NEG_INTERACTS_WITH_BACTnitawAAPP
