cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004587,C0026926,NEG_INTERACTS_WITH,Bacillus <bacterium>,Mycobacterium tuberculosis,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004590,C0004611,NEG_INTERACTS_WITH,Bacillus cereus,Bacteria,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004611,C0005380,NEG_INTERACTS_WITH,Bacteria,Bifidobacterium,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004611,C0018483,NEG_INTERACTS_WITH,Bacteria,Haemophilus influenzae,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004611,C0022938,NEG_INTERACTS_WITH,Bacteria,Lactobacillus,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004611,C5141338,NEG_INTERACTS_WITH,Bacteria,Bacterial strain,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0014834,C0036111,NEG_INTERACTS_WITH,Escherichia coli,Salmonella,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0014834,C1210581,NEG_INTERACTS_WITH,Escherichia coli,Lactobacillales,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0026926,C1265234,NEG_INTERACTS_WITH,Mycobacterium tuberculosis,Nontuberculous Mycobacteria,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0079488,C0004611,NEG_INTERACTS_WITH,Helicobacter pylori,Bacteria,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0314760,C0022938,NEG_INTERACTS_WITH,Coliform bacteria,Lactobacillus,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
