cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003065,C0729663,NEG_LOCATION_OF,"Animals, Newborn",Maternal antibody,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0003069,C1423652,NEG_LOCATION_OF,"Animals, Transgenic",CTTNBP2 gene,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0003070,C0042210,NEG_LOCATION_OF,"Animals, Wild",Vaccines,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0012656,C0042738,NEG_LOCATION_OF,Disease Vectors,Viral Structural Proteins,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0012656,C1825598,NEG_LOCATION_OF,Disease Vectors,IMPACT gene,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0598744,C1335872,NEG_LOCATION_OF,juvenile animal,STAT1 gene,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0021747,NEG_LOCATION_OF,Animal Model,Interferons,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0028612,NEG_LOCATION_OF,Animal Model,Nucleoproteins,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0034800,NEG_LOCATION_OF,Animal Model,"Receptors, Cell Surface",anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0042210,NEG_LOCATION_OF,Animal Model,Vaccines,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0077967,NEG_LOCATION_OF,Animal Model,vaccin protein,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0079189,NEG_LOCATION_OF,Animal Model,cytokine,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C0282682,NEG_LOCATION_OF,Animal Model,"Antibodies, Blocking",anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C1333895,NEG_LOCATION_OF,Animal Model,HDAC6 gene,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0599779,C1412268,NEG_LOCATION_OF,Animal Model,TLE5 gene,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C0887965,C1332386,NEG_LOCATION_OF,Experimental Animal Models,BCAR3 gene,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C1511501,C0003241,NEG_LOCATION_OF,Control Animal,Antibodies,anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C1511501,C0475463,NEG_LOCATION_OF,Control Animal,"Antibodies, Neutralizing",anim,aapp,1,NEG_LOCATION_OF_ANIMnlocfAAPP
C1511501,C1422064,NEG_LOCATION_OF,Control Animal,ACE2 gene,anim,aapp,2,NEG_LOCATION_OF_ANIMnlocfAAPP
