cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009462,C0003241,NEG_LOCATION_OF,Community,Antibodies,grup,aapp,2,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009462,C1521863,NEG_LOCATION_OF,Community,"estrogen receptor alpha, human",grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009462,C1706869,NEG_LOCATION_OF,Community,BAG1 wt Allele,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009462,C2714104,NEG_LOCATION_OF,Community,"IDH2, human",grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0003250,NEG_LOCATION_OF,Control Groups,Monoclonal Antibodies,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0051979,NEG_LOCATION_OF,Control Groups,anti-IgG,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0079189,NEG_LOCATION_OF,Control Groups,cytokine,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0165519,NEG_LOCATION_OF,Control Groups,Matrix Metalloproteinase 9,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0312586,NEG_LOCATION_OF,Control Groups,Polyclonal antibody,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0443640,NEG_LOCATION_OF,Control Groups,Specific antibody,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C0475463,NEG_LOCATION_OF,Control Groups,"Antibodies, Neutralizing",grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C1421544,NEG_LOCATION_OF,Control Groups,XPO1 gene,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C1422640,NEG_LOCATION_OF,Control Groups,SLC13A3 gene,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C1624602,NEG_LOCATION_OF,Control Groups,Anti-Antibodies,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C1708438,NEG_LOCATION_OF,Control Groups,CXCR1 wt Allele,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C4048280,NEG_LOCATION_OF,Control Groups,"T-Cell Surface Glycoprotein CD4, human",grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0009932,C4723885,NEG_LOCATION_OF,Control Groups,DDX41 wt Allele,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0003241,NEG_LOCATION_OF,Homo sapiens,Antibodies,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0017366,NEG_LOCATION_OF,Homo sapiens,Structural gene,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0017649,NEG_LOCATION_OF,Homo sapiens,Globulins,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0017968,NEG_LOCATION_OF,Homo sapiens,Glycoproteins,grup,aapp,2,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0018909,NEG_LOCATION_OF,Homo sapiens,Hemagglutinin,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0021747,NEG_LOCATION_OF,Homo sapiens,Interferons,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0033799,NEG_LOCATION_OF,Homo sapiens,Pseudogenes,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0036001,NEG_LOCATION_OF,Homo sapiens,S-Adenosylhomocysteine,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0039667,NEG_LOCATION_OF,Homo sapiens,Tetrahydrofolate Dehydrogenase,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0042736,NEG_LOCATION_OF,Homo sapiens,Viral Proteins,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0061355,NEG_LOCATION_OF,Homo sapiens,Glucagon-Like Peptide 1,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0077967,NEG_LOCATION_OF,Homo sapiens,vaccin protein,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
C0086418,C0079460,NEG_LOCATION_OF,Homo sapiens,Granulocyte-Macrophage Colony-Stimulating Factor,grup,aapp,1,NEG_LOCATION_OF_GRUPnlocfAAPP
