cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006801,C0021038,NEG_LOCATION_OF,Camels,Immunoglobulin Light Chains,mamm,aapp,2,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C0003241,NEG_LOCATION_OF,Felis catus,Antibodies,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C0023816,NEG_LOCATION_OF,Felis catus,LIPOPROTEIN LIPASE,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C0029297,NEG_LOCATION_OF,Felis catus,Orosomucoid,mamm,aapp,2,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C0036773,NEG_LOCATION_OF,Felis catus,Serum Albumin,mamm,aapp,2,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C0079189,NEG_LOCATION_OF,Felis catus,cytokine,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C0370058,NEG_LOCATION_OF,Felis catus,Anti-platelet antibody,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C1425082,NEG_LOCATION_OF,Felis catus,SAV1 gene,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C1448177,NEG_LOCATION_OF,Felis catus,"TNF protein, human",mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007450,C4048280,NEG_LOCATION_OF,Felis catus,"T-Cell Surface Glycoprotein CD4, human",mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007452,C0003241,NEG_LOCATION_OF,Cattle,Antibodies,mamm,aapp,2,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007452,C0017352,NEG_LOCATION_OF,Cattle,"Genes, Immunoglobulin Light Chain",mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007452,C0308550,NEG_LOCATION_OF,Cattle,BRSV,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007452,C0443640,NEG_LOCATION_OF,Cattle,Specific antibody,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007452,C0729663,NEG_LOCATION_OF,Cattle,Maternal antibody,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0007452,C1417914,NEG_LOCATION_OF,Cattle,OAS3 gene,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0008111,C0003241,NEG_LOCATION_OF,Pan troglodytes,Antibodies,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0008111,C1334043,NEG_LOCATION_OF,Pan troglodytes,Homologous Gene,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
C0008111,C1420062,NEG_LOCATION_OF,Pan troglodytes,SIGLEC7 gene,mamm,aapp,1,NEG_LOCATION_OF_MAMMnlocfAAPP
