cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0027452,C0040808,NEG_METHOD_OF,National Health Insurance,Treatment Protocols,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0030768,C0021107,NEG_METHOD_OF,Peer Review,Implantation procedure,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0030768,C1511790,NEG_METHOD_OF,Peer Review,Detection,hlca,topp,2,NEG_METHOD_OF_HLCAnmthfTOPP
C0031809,C0040771,NEG_METHOD_OF,Physical Examination,Transurethral Resection of Prostate,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0033137,C0043162,NEG_METHOD_OF,Primary Health Care,Whole-Body Irradiation,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0199171,C0199176,NEG_METHOD_OF,medical procedure,Prophylactic treatment,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0200345,C0185115,NEG_METHOD_OF,Specimen Collection,Extraction,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0206082,C4526535,NEG_METHOD_OF,Immunization Programs,Bendamustine/Lenalidomide/Dexamethasone Regimen,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0344211,C0030231,NEG_METHOD_OF,Supportive care,Palliative Care,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0441587,C0581602,NEG_METHOD_OF,Clinical act of insertion,Structural modification,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C0585648,C0052712,NEG_METHOD_OF,Registration procedure,doxorubicin/mitomycin/vinblastine protocol,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C4684780,C0040808,NEG_METHOD_OF,Standard Treatment,Treatment Protocols,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C4684780,C0042196,NEG_METHOD_OF,Standard Treatment,Vaccination,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
C5228953,C0281187,NEG_METHOD_OF,Screening Services,Cervical Cancer Screening,hlca,topp,1,NEG_METHOD_OF_HLCAnmthfTOPP
