cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0004034,NEG_PART_OF,Antibodies,Aspergillus,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0010654,C0036025,NEG_PART_OF,cysteine,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0017890,C0036025,NEG_PART_OF,glycine,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0019602,C0036025,NEG_PART_OF,histidine,Saccharomyces cerevisiae,aapp,fngs,3,NEG_PART_OF_AAPPnprtfFNGS
C0021747,C0036025,NEG_PART_OF,Interferons,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0023401,C0036025,NEG_PART_OF,leucine,Saccharomyces cerevisiae,aapp,fngs,3,NEG_PART_OF_AAPPnprtfFNGS
C0025831,C0014181,NEG_PART_OF,Methyltransferase,Saccharomycetales,aapp,fngs,3,NEG_PART_OF_AAPPnprtfFNGS
C0033640,C0028434,NEG_PART_OF,Protein Kinases,Encephalitozoon cuniculi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0041249,C0036025,NEG_PART_OF,tryptophan,Saccharomyces cerevisiae,aapp,fngs,4,NEG_PART_OF_AAPPnprtfFNGS
C0056997,C0016832,NEG_PART_OF,Cytosine deaminase,Fungi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0068878,C0016832,NEG_PART_OF,nitrous oxide reductase,Fungi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0085249,C0036025,NEG_PART_OF,glycosyltransferase,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0282552,C0043393,NEG_PART_OF,beta-Chemokines,Yeasts,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0296814,C0016832,NEG_PART_OF,NK-lysin,Fungi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C0920283,C0036025,NEG_PART_OF,DNA Helicases,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1321919,C0016832,NEG_PART_OF,"TLR4 protein, human",Fungi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1334043,C0016832,NEG_PART_OF,Homologous Gene,Fungi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1334043,C0036025,NEG_PART_OF,Homologous Gene,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1366462,C0036025,NEG_PART_OF,KAT2B gene,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1412785,C0043393,NEG_PART_OF,BECN1 gene,Yeasts,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1413978,C0006837,NEG_PART_OF,DEFB4A gene,Candida albicans,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1415164,C0016832,NEG_PART_OF,GNLY gene,Fungi,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
C1825501,C0036025,NEG_PART_OF,ATG10 gene,Saccharomyces cerevisiae,aapp,fngs,1,NEG_PART_OF_AAPPnprtfFNGS
